title,authors,abstract,pdf_url,published,Title,Model,Rating,Reasoning
STF: Sentence Transformer Fine-Tuning For Topic Categorization With Limited Data,"['Kheir Eddine Daouadi', 'Yaakoub Boualleg', 'Oussama Guehairia']","Nowadays, topic classification from tweets attracts considerable research
attention. Different classification systems have been suggested thanks to these
research efforts. Nevertheless, they face major challenges owing to low
performance metrics due to the limited amount of labeled data. We propose
Sentence Transformers Fine-tuning (STF), a topic detection system that
leverages pretrained Sentence Transformers models and fine-tuning to classify
topics from tweets accurately. Moreover, extensive parameter sensitivity
analyses were conducted to finetune STF parameters for our topic classification
task to achieve the best performance results. Experiments on two benchmark
datasets demonstrated that (1) the proposed STF can be effectively used for
classifying tweet topics and outperforms the latest state-of-the-art
approaches, and (2) the proposed STF does not require a huge amount of labeled
tweets to achieve good accuracy, which is a limitation of many state-of-the-art
approaches. Our main contribution is the achievement of promising results in
tweet topic classification by applying pretrained sentence transformers
language models.",http://arxiv.org/pdf/2407.03253v1,2024-07-03,STF: Sentence Transformer Fine-Tuning For Topic Categorization With Limited Data,gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on using pretrained Sentence Transformers for fine-tuning to classify topics from tweets, which is not directly related to prompt engineering."
CATT: Character-based Arabic Tashkeel Transformer,"['Faris Alasmary', 'Orjuwan Zaafarani', 'Ahmad Ghannam']","Tashkeel, or Arabic Text Diacritization (ATD), greatly enhances the
comprehension of Arabic text by removing ambiguity and minimizing the risk of
misinterpretations caused by its absence. It plays a crucial role in improving
Arabic text processing, particularly in applications such as text-to-speech and
machine translation. This paper introduces a new approach to training ATD
models. First, we finetuned two transformers, encoder-only and encoder-decoder,
that were initialized from a pretrained character-based BERT. Then, we applied
the Noisy-Student approach to boost the performance of the best model. We
evaluated our models alongside 11 commercial and open-source models using two
manually labeled benchmark datasets: WikiNews and our CATT dataset. Our
findings show that our top model surpasses all evaluated models by relative
Diacritic Error Rates (DERs) of 30.83\% and 35.21\% on WikiNews and CATT,
respectively, achieving state-of-the-art in ATD. In addition, we show that our
model outperforms GPT-4-turbo on CATT dataset by a relative DER of 9.36\%. We
open-source our CATT models and benchmark dataset for the research
community\footnote{https://github.com/abjadai/catt}.",http://arxiv.org/pdf/2407.03236v1,2024-07-03,CATT: Character-based Arabic Tashkeel Transformer,gpt-3.5-turbo,somewhat irrelevant,The paper focuses on training ATD models based on transformer architectures and does not specifically mention hard prefix prompting or prompt engineering.
PPO-based Dynamic Control of Uncertain Floating Platforms in the Zero-G Environment,"['Mahya Ramezani', 'M. Amin Alandihallaj', 'Andreas M. Hein']","In the field of space exploration, floating platforms play a crucial role in
scientific investigations and technological advancements. However, controlling
these platforms in zero-gravity environments presents unique challenges,
including uncertainties and disturbances. This paper introduces an innovative
approach that combines Proximal Policy Optimization (PPO) with Model Predictive
Control (MPC) in the zero-gravity laboratory (Zero-G Lab) at the University of
Luxembourg. This approach leverages PPO's reinforcement learning power and
MPC's precision to navigate the complex control dynamics of floating platforms.
Unlike traditional control methods, this PPO-MPC approach learns from MPC
predictions, adapting to unmodeled dynamics and disturbances, resulting in a
resilient control framework tailored to the zero-gravity environment.
Simulations and experiments in the Zero-G Lab validate this approach,
showcasing the adaptability of the PPO agent. This research opens new
possibilities for controlling floating platforms in zero-gravity settings,
promising advancements in space exploration.",http://arxiv.org/pdf/2407.03224v1,2024-07-03,PPO-based Dynamic Control of Uncertain Floating Platforms in the Zero-G Environment,gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on the use of Proximal Policy Optimization (PPO) with Model Predictive Control (MPC) in controlling floating platforms in zero-gravity environments, showcasing advanced control techniques but not specific to prompt engineering."
Learning Disentangled Representation in Object-Centric Models for Visual Dynamics Prediction via Transformers,"['Sanket Gandhi', 'Atul', 'Samanyu Mahajan', 'Vishal Sharma', 'Rushil Gupta', 'Arnab Kumar Mondal', 'Parag Singla']","Recent work has shown that object-centric representations can greatly help
improve the accuracy of learning dynamics while also bringing interpretability.
In this work, we take this idea one step further, ask the following question:
""can learning disentangled representation further improve the accuracy of
visual dynamics prediction in object-centric models?"" While there has been some
attempt to learn such disentangled representations for the case of static
images \citep{nsb}, to the best of our knowledge, ours is the first work which
tries to do this in a general setting for video, without making any specific
assumptions about the kind of attributes that an object might have. The key
building block of our architecture is the notion of a {\em block}, where
several blocks together constitute an object. Each block is represented as a
linear combination of a given number of learnable concept vectors, which is
iteratively refined during the learning process. The blocks in our model are
discovered in an unsupervised manner, by attending over object masks, in a
style similar to discovery of slots \citep{slot_attention}, for learning a
dense object-centric representation. We employ self-attention via transformers
over the discovered blocks to predict the next state resulting in discovery of
visual dynamics. We perform a series of experiments on several benchmark 2-D,
and 3-D datasets demonstrating that our architecture (1) can discover
semantically meaningful blocks (2) help improve accuracy of dynamics prediction
compared to SOTA object-centric models (3) perform significantly better in OOD
setting where the specific attribute combinations are not seen earlier during
training. Our experiments highlight the importance discovery of disentangled
representation for visual dynamics prediction.",http://arxiv.org/pdf/2407.03216v1,2024-07-03,Learning Disentangled Representation in Object-Centric Models for Visual Dynamics Prediction via Transformers,gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on learning disentangled representations in object-centric models for visual dynamics prediction using transformers, which is not directly related to hard prefix prompts or prompt engineering."
How Does Quantization Affect Multilingual LLMs?,"['Kelly Marchisio', 'Saurabh Dash', 'Hongyu Chen', 'Dennis Aumiller', 'Ahmet Üstün', 'Sara Hooker', 'Sebastian Ruder']","Quantization techniques are widely used to improve inference speed and
deployment of large language models. While a wide body of work examines the
impact of quantized LLMs on English tasks, none have examined the effect of
quantization across languages. We conduct a thorough analysis of quantized
multilingual LLMs, focusing on their performance across languages and at
varying scales. We use automatic benchmarks, LLM-as-a-Judge methods, and human
evaluation, finding that (1) harmful effects of quantization are apparent in
human evaluation, and automatic metrics severely underestimate the detriment: a
1.7% average drop in Japanese across automatic tasks corresponds to a 16.0%
drop reported by human evaluators on realistic prompts; (2) languages are
disparately affected by quantization, with non-Latin script languages impacted
worst; and (3) challenging tasks such as mathematical reasoning degrade
fastest. As the ability to serve low-compute models is critical for wide global
adoption of NLP technologies, our results urge consideration of multilingual
performance as a key evaluation criterion for efficient models.",http://arxiv.org/pdf/2407.03211v1,2024-07-03,How Does Quantization Affect Multilingual LLMs?,gpt-3.5-turbo,somewhat irrelevant,"This paper focuses on the impact of quantization techniques on multilingual language models and their performance across languages, which does not directly relate to hard prefix prompting or prompt engineering."
Multiple-Resolution Tokenization for Time Series Forecasting with an Application to Pricing,"['Egon Peršak', 'Miguel F. Anjos', 'Sebastian Lautz', 'Aleksandar Kolev']","We propose a transformer architecture for time series forecasting with a
focus on time series tokenisation and apply it to a real-world prediction
problem from the pricing domain. Our architecture aims to learn effective
representations at many scales across all available data simultaneously. The
model contains a number of novel modules: a differentiated form of time series
patching which employs multiple resolutions, a multiple-resolution module for
time-varying known variables, a mixer-based module for capturing cross-series
information, and a novel output head with favourable scaling to account for the
increased number of tokens. We present an application of this model to a real
world prediction problem faced by the markdown team at a very large retailer.
On the experiments conducted our model outperforms in-house models and the
selected existing deep learning architectures.",http://arxiv.org/pdf/2407.03185v1,2024-07-03,Multiple-Resolution Tokenization for Time Series Forecasting with an Application to Pricing,gpt-3.5-turbo,somewhat irrelevant,"The abstract focuses on proposing a transformer architecture for time series forecasting with novel modules, but does not mention hard prefix prompting or prompt engineering specifically."
InternLM-XComposer-2.5: A Versatile Large Vision Language Model Supporting Long-Contextual Input and Output,"['Pan Zhang', 'Xiaoyi Dong', 'Yuhang Zang', 'Yuhang Cao', 'Rui Qian', 'Lin Chen', 'Qipeng Guo', 'Haodong Duan', 'Bin Wang', 'Linke Ouyang', 'Songyang Zhang', 'Wenwei Zhang', 'Yining Li', 'Yang Gao', 'Peng Sun', 'Xinyue Zhang', 'Wei Li', 'Jingwen Li', 'Wenhai Wang', 'Hang Yan', 'Conghui He', 'Xingcheng Zhang', 'Kai Chen', 'Jifeng Dai', 'Yu Qiao', 'Dahua Lin', 'Jiaqi Wang']","We present InternLM-XComposer-2.5 (IXC-2.5), a versatile large-vision
language model that supports long-contextual input and output. IXC-2.5 excels
in various text-image comprehension and composition applications, achieving
GPT-4V level capabilities with merely 7B LLM backend. Trained with 24K
interleaved image-text contexts, it can seamlessly extend to 96K long contexts
via RoPE extrapolation. This long-context capability allows IXC-2.5 to excel in
tasks requiring extensive input and output contexts. Compared to its previous
2.0 version, InternLM-XComposer-2.5 features three major upgrades in
vision-language comprehension: (1) Ultra-High Resolution Understanding, (2)
Fine-Grained Video Understanding, and (3) Multi-Turn Multi-Image Dialogue. In
addition to comprehension, IXC-2.5 extends to two compelling applications using
extra LoRA parameters for text-image composition: (1) Crafting Webpages and (2)
Composing High-Quality Text-Image Articles. IXC-2.5 has been evaluated on 28
benchmarks, outperforming existing open-source state-of-the-art models on 16
benchmarks. It also surpasses or competes closely with GPT-4V and Gemini Pro on
16 key tasks. The InternLM-XComposer-2.5 is publicly available at
https://github.com/InternLM/InternLM-XComposer.",http://arxiv.org/pdf/2407.03320v1,2024-07-03,InternLM-XComposer-2.5: A Versatile Large Vision Language Model Supporting Long-Contextual Input and Output,gpt-3.5-turbo,highly irrelevant,"The paper focuses on a language model specially designed for text-image comprehension and composition tasks, rather than on prompt engineering or hard prefix prompting."
DisCo-Diff: Enhancing Continuous Diffusion Models with Discrete Latents,"['Yilun Xu', 'Gabriele Corso', 'Tommi Jaakkola', 'Arash Vahdat', 'Karsten Kreis']","Diffusion models (DMs) have revolutionized generative learning. They utilize
a diffusion process to encode data into a simple Gaussian distribution.
However, encoding a complex, potentially multimodal data distribution into a
single continuous Gaussian distribution arguably represents an unnecessarily
challenging learning problem. We propose Discrete-Continuous Latent Variable
Diffusion Models (DisCo-Diff) to simplify this task by introducing
complementary discrete latent variables. We augment DMs with learnable discrete
latents, inferred with an encoder, and train DM and encoder end-to-end.
DisCo-Diff does not rely on pre-trained networks, making the framework
universally applicable. The discrete latents significantly simplify learning
the DM's complex noise-to-data mapping by reducing the curvature of the DM's
generative ODE. An additional autoregressive transformer models the
distribution of the discrete latents, a simple step because DisCo-Diff requires
only few discrete variables with small codebooks. We validate DisCo-Diff on toy
data, several image synthesis tasks as well as molecular docking, and find that
introducing discrete latents consistently improves model performance. For
example, DisCo-Diff achieves state-of-the-art FID scores on class-conditioned
ImageNet-64/128 datasets with ODE sampler.",http://arxiv.org/pdf/2407.03300v1,2024-07-03,DisCo-Diff: Enhancing Continuous Diffusion Models with Discrete Latents,gpt-3.5-turbo,highly irrelevant,"The paper focuses on enhancing diffusion models with discrete latent variables and does not mention prompt engineering or hard prefix prompts, making it unrelated to the topic."
Improved Noise Schedule for Diffusion Training,"['Tiankai Hang', 'Shuyang Gu']","Diffusion models have emerged as the de facto choice for generating visual
signals. However, training a single model to predict noise across various
levels poses significant challenges, necessitating numerous iterations and
incurring significant computational costs. Various approaches, such as loss
weighting strategy design and architectural refinements, have been introduced
to expedite convergence. In this study, we propose a novel approach to design
the noise schedule for enhancing the training of diffusion models. Our key
insight is that the importance sampling of the logarithm of the Signal-to-Noise
ratio (logSNR), theoretically equivalent to a modified noise schedule, is
particularly beneficial for training efficiency when increasing the sample
frequency around $\log \text{SNR}=0$. We empirically demonstrate the
superiority of our noise schedule over the standard cosine schedule.
Furthermore, we highlight the advantages of our noise schedule design on the
ImageNet benchmark, showing that the designed schedule consistently benefits
different prediction targets.",http://arxiv.org/pdf/2407.03297v1,2024-07-03,Improved Noise Schedule for Diffusion Training,gpt-3.5-turbo,highly irrelevant,The paper focuses on improving the noise schedule for diffusion models and does not mention anything related to prompt engineering or hard prefix prompting.
VCHAR:Variance-Driven Complex Human Activity Recognition framework with Generative Representation,"['Yuan Sun', 'Navid Salami Pargoo', 'Taqiya Ehsan', 'Zhao Zhang Jorge Ortiz']","Complex human activity recognition (CHAR) remains a pivotal challenge within
ubiquitous computing, especially in the context of smart environments. Existing
studies typically require meticulous labeling of both atomic and complex
activities, a task that is labor-intensive and prone to errors due to the
scarcity and inaccuracies of available datasets. Most prior research has
focused on datasets that either precisely label atomic activities or, at
minimum, their sequence approaches that are often impractical in real world
settings.In response, we introduce VCHAR (Variance-Driven Complex Human
Activity Recognition), a novel framework that treats the outputs of atomic
activities as a distribution over specified intervals. Leveraging generative
methodologies, VCHAR elucidates the reasoning behind complex activity
classifications through video-based explanations, accessible to users without
prior machine learning expertise. Our evaluation across three publicly
available datasets demonstrates that VCHAR enhances the accuracy of complex
activity recognition without necessitating precise temporal or sequential
labeling of atomic activities. Furthermore, user studies confirm that VCHAR's
explanations are more intelligible compared to existing methods, facilitating a
broader understanding of complex activity recognition among non-experts.",http://arxiv.org/pdf/2407.03291v1,2024-07-03,VCHAR:Variance-Driven Complex Human Activity Recognition framework with Generative Representation,gpt-3.5-turbo,highly irrelevant,"The paper focuses on a novel framework for complex human activity recognition using generative methodologies, which is not directly related to hard prefix prompting or prompt engineering."
Evaluating Automatic Metrics with Incremental Machine Translation Systems,"['Guojun Wu', 'Shay B. Cohen', 'Rico Sennrich']","We introduce a dataset comprising commercial machine translations, gathered
weekly over six years across 12 translation directions. Since human A/B testing
is commonly used, we assume commercial systems improve over time, which enables
us to evaluate machine translation (MT) metrics based on their preference for
more recent translations. Our study confirms several previous findings in MT
metrics research and demonstrates the dataset's value as a testbed for metric
evaluation. We release our code at https://github.com/gjwubyron/Evo",http://arxiv.org/pdf/2407.03277v1,2024-07-03,Evaluating Automatic Metrics with Incremental Machine Translation Systems,gpt-3.5-turbo,highly irrelevant,"The paper focuses on evaluating machine translation systems and metrics, which is not directly related to prompt engineering."
Do Quantum Neural Networks have Simplicity Bias?,['Jessica Pointing'],"One hypothesis for the success of deep neural networks (DNNs) is that they
are highly expressive, which enables them to be applied to many problems, and
they have a strong inductive bias towards solutions that are simple, known as
simplicity bias, which allows them to generalise well on unseen data because
most real-world data is structured (i.e. simple). In this work, we explore the
inductive bias and expressivity of quantum neural networks (QNNs), which gives
us a way to compare their performance to those of DNNs. Our results show that
it is possible to have simplicity bias with certain QNNs, but we prove that
this type of QNN limits the expressivity of the QNN. We also show that it is
possible to have QNNs with high expressivity, but they either have no inductive
bias or a poor inductive bias and result in a worse generalisation performance
compared to DNNs. We demonstrate that an artificial (restricted) inductive bias
can be produced by intentionally restricting the expressivity of a QNN. Our
results suggest a bias-expressivity tradeoff. Our conclusion is that the QNNs
we studied can not generally offer an advantage over DNNs, because these QNNs
either have a poor inductive bias or poor expressivity compared to DNNs.",http://arxiv.org/pdf/2407.03266v1,2024-07-03,Do Quantum Neural Networks have Simplicity Bias?,gpt-3.5-turbo,highly irrelevant,"The paper focuses on comparing the inductive bias and expressivity of quantum neural networks (QNNs) and deep neural networks (DNNs), which is not directly related to prompt engineering."
