title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning
Dallah: A Dialect-Aware Multimodal Large Language Model for Arabic,"['Fakhraddin Alwajih', 'Gagan Bhatia', 'Muhammad Abdul-Mageed']","Recent advancements have significantly enhanced the capabilities of
Multimodal Large Language Models (MLLMs) in generating and understanding
image-to-text content. Despite these successes, progress is predominantly
limited to English due to the scarcity of high quality multimodal resources in
other languages. This limitation impedes the development of competitive models
in languages such as Arabic. To alleviate this situation, we introduce an
efficient Arabic multimodal assistant, dubbed Dallah, that utilizes an advanced
language model based on LLaMA-2 to facilitate multimodal interactions. Dallah
demonstrates state-of-the-art performance in Arabic MLLMs. Through fine-tuning
six Arabic dialects, Dallah showcases its capability to handle complex
dialectal interactions incorporating both textual and visual elements. The
model excels in two benchmark tests: one evaluating its performance on Modern
Standard Arabic (MSA) and another specifically designed to assess dialectal
responses. Beyond its robust performance in multimodal interaction tasks,
Dallah has the potential to pave the way for further development of
dialect-aware Arabic MLLMs.",http://arxiv.org/pdf/2407.18129v1,2024-07-25,2407.18129v1,Dallah: A Dialect-Aware Multimodal Large Language Model for Arabic,gpt-4,highly irrelevant,"The paper discusses the development of a multimodal language model with a focus on Arabic dialects, but it does not mention anything about prompt engineering or hard prefix prompting."
Self-supervised pre-training with diffusion model for few-shot landmark detection in x-ray images,"['Roberto Di Via', 'Francesca Odone', 'Vito Paolo Pastore']","In the last few years, deep neural networks have been extensively applied in
the medical domain for different tasks, ranging from image classification and
segmentation to landmark detection. However, the application of these
technologies in the medical domain is often hindered by data scarcity, both in
terms of available annotations and images. This study introduces a new
self-supervised pre-training protocol based on diffusion models for landmark
detection in x-ray images. Our results show that the proposed self-supervised
framework can provide accurate landmark detection with a minimal number of
available annotated training images (up to 50), outperforming ImageNet
supervised pre-training and state-of-the-art self-supervised pre-trainings for
three popular x-ray benchmark datasets. To our knowledge, this is the first
exploration of diffusion models for self-supervised learning in landmark
detection, which may offer a valuable pre-training approach in few-shot
regimes, for mitigating data scarcity.",http://arxiv.org/pdf/2407.18125v1,2024-07-25,2407.18125v1,Self-supervised pre-training with diffusion model for few-shot landmark detection in x-ray images,gpt-4,highly irrelevant,"The paper focuses on self-supervised pre-training protocols in the context of landmark detection in x-ray images, without any mention of prompt engineering or hard prefix prompting."
Tracking linguistic information in transformer-based sentence embeddings through targeted sparsification,"['Vivi Nastase', 'Paola Merlo']","Analyses of transformer-based models have shown that they encode a variety of
linguistic information from their textual input. While these analyses have shed
a light on the relation between linguistic information on one side, and
internal architecture and parameters on the other, a question remains
unanswered: how is this linguistic information reflected in sentence
embeddings? Using datasets consisting of sentences with known structure, we
test to what degree information about chunks (in particular noun, verb or
prepositional phrases), such as grammatical number, or semantic role, can be
localized in sentence embeddings. Our results show that such information is not
distributed over the entire sentence embedding, but rather it is encoded in
specific regions. Understanding how the information from an input text is
compressed into sentence embeddings helps understand current transformer models
and help build future explainable neural models.",http://arxiv.org/pdf/2407.18119v1,2024-07-25,2407.18119v1,Tracking linguistic information in transformer-based sentence embeddings through targeted sparsification,gpt-4,highly irrelevant,"This paper is focused on the understanding of linguistic information encoding and sentence embedding in a transformer model, not on the specifics of hard prefix prompts or prompt engineering techniques."
MapTune: Advancing ASIC Technology Mapping via Reinforcement Learning Guided Library Tuning,"['Mingju Liu', 'Daniel Robinson', 'Yingjie Li', 'Cunxi Yu']","Technology mapping involves mapping logical circuits to a library of cells.
Traditionally, the full technology library is used, leading to a large search
space and potential overhead. Motivated by randomly sampled technology mapping
case studies, we propose MapTune framework that addresses this challenge by
utilizing reinforcement learning to make design-specific choices during cell
selection. By learning from the environment, MapTune refines the cell selection
process, resulting in a reduced search space and potentially improved mapping
quality.
  The effectiveness of MapTune is evaluated on a wide range of benchmarks,
different technology libraries and technology mappers. The experimental results
demonstrate that MapTune achieves higher mapping accuracy and reducing
delay/area across diverse circuit designs, technology libraries and mappers.
The paper also discusses the Pareto-Optimal exploration and confirms the
perpetual delay-area trade-off. Conducted on benchmark suites ISCAS 85/89,
ITC/ISCAS 99, VTR8.0 and EPFL benchmarks, the post-technology mapping and
post-sizing quality-of-results (QoR) have been significantly improved, with
average Area-Delay Product (ADP) improvement of 22.54\% among all different
exploration settings in MapTune. The improvements are consistently remained for
four different technologies (7nm, 45nm, 130nm, and 180 nm) and two different
mappers.",http://arxiv.org/pdf/2407.18110v1,2024-07-25,2407.18110v1,MapTune: Advancing ASIC Technology Mapping via Reinforcement Learning Guided Library Tuning,gpt-4,highly irrelevant,This paper focuses on technology mapping in ASIC via reinforcement learning which is unrelated to the topic of hard prefix prompt engineering in transformers.
Multi-Resolution Histopathology Patch Graphs for Ovarian Cancer Subtyping,"['Jack Breen', 'Katie Allen', 'Kieran Zucker', 'Nicolas M. Orsi', 'Nishant Ravikumar']","Computer vision models are increasingly capable of classifying ovarian
epithelial cancer subtypes, but they differ from pathologists by processing
small tissue patches at a single resolution. Multi-resolution graph models
leverage the spatial relationships of patches at multiple magnifications,
learning the context for each patch. In this study, we conduct the most
thorough validation of a graph model for ovarian cancer subtyping to date.
Seven models were tuned and trained using five-fold cross-validation on a set
of 1864 whole slide images (WSIs) from 434 patients treated at Leeds Teaching
Hospitals NHS Trust. The cross-validation models were ensembled and evaluated
using a balanced hold-out test set of 100 WSIs from 30 patients, and an
external validation set of 80 WSIs from 80 patients in the Transcanadian Study.
The best-performing model, a graph model using 10x+20x magnification data, gave
balanced accuracies of 73%, 88%, and 99% in cross-validation, hold-out testing,
and external validation, respectively. However, this only exceeded the
performance of attention-based multiple instance learning in external
validation, with a 93% balanced accuracy. Graph models benefitted greatly from
using the UNI foundation model rather than an ImageNet-pretrained ResNet50 for
feature extraction, with this having a much greater effect on performance than
changing the subsequent classification approach. The accuracy of the combined
foundation model and multi-resolution graph network offers a step towards the
clinical applicability of these models, with a new highest-reported performance
for this task, though further validations are still required to ensure the
robustness and usability of the models.",http://arxiv.org/pdf/2407.18105v1,2024-07-25,2407.18105v1,Multi-Resolution Histopathology Patch Graphs for Ovarian Cancer Subtyping,gpt-4,highly irrelevant,"The paper is fully focused on the application of computer vision and graph models for ovarian cancer subtyping, without any mention of hard prefix prompting or prompt engineering."
Privacy Threats and Countermeasures in Federated Learning for Internet of Things: A Systematic Review,"['Adel ElZemity', 'Budi Arief']","Federated Learning (FL) in the Internet of Things (IoT) environments can
enhance machine learning by utilising decentralised data, but at the same time,
it might introduce significant privacy and security concerns due to the
constrained nature of IoT devices. This represents a research challenge that we
aim to address in this paper. We systematically analysed recent literature to
identify privacy threats in FL within IoT environments, and evaluate the
defensive measures that can be employed to mitigate these threats. Using a
Systematic Literature Review (SLR) approach, we searched five publication
databases (Scopus, IEEE Xplore, Wiley, ACM, and Science Direct), collating
relevant papers published between 2017 and April 2024, a period which spans
from the introduction of FL until now. Guided by the PRISMA protocol, we
selected 49 papers to focus our systematic review on. We analysed these papers,
paying special attention to the privacy threats and defensive measures --
specifically within the context of IoT -- using inclusion and exclusion
criteria tailored to highlight recent advances and critical insights. We
identified various privacy threats, including inference attacks, poisoning
attacks, and eavesdropping, along with defensive measures such as Differential
Privacy and Secure Multi-Party Computation. These defences were evaluated for
their effectiveness in protecting privacy without compromising the functional
integrity of FL in IoT settings. Our review underscores the necessity for
robust and efficient privacy-preserving strategies tailored for IoT
environments. Notably, there is a need for strategies against replay, evasion,
and model stealing attacks. Exploring lightweight defensive measures and
emerging technologies such as blockchain may help improve the privacy of FL in
IoT, leading to the creation of FL models that can operate under variable
network conditions.",http://arxiv.org/pdf/2407.18096v1,2024-07-25,2407.18096v1,Privacy Threats and Countermeasures in Federated Learning for Internet of Things: A Systematic Review,gpt-4,highly irrelevant,"The paper is focused on Federated Learning (FL) in Internet of Things (IoT) environments, privacy threats and defensive measures. No mention of hard prefix prompts, or any kind of prompting or prompt engineering is present."
PEFT-U: Parameter-Efficient Fine-Tuning for User Personalization,"['Christopher Clarke', 'Yuzhao Heng', 'Lingjia Tang', 'Jason Mars']","The recent emergence of Large Language Models (LLMs) has heralded a new era
of human-AI interaction. These sophisticated models, exemplified by Chat-GPT
and its successors, have exhibited remarkable capabilities in language
understanding. However, as these LLMs have undergone exponential growth, a
crucial dimension that remains understudied is the personalization of these
models. Large foundation models such as GPT-3 etc. focus on creating a
universal model that serves a broad range of tasks and users. This approach
emphasizes the model's generalization capabilities, treating users as a
collective rather than as distinct individuals. While practical for many common
applications, this one-size-fits-all approach often fails to address the rich
tapestry of human diversity and individual needs. To explore this issue we
introduce the PEFT-U Benchmark: a new dataset for building and evaluating NLP
models for user personalization. \datasetname{} consists of a series of
user-centered tasks containing diverse and individualized expressions where the
preferences of users can potentially differ for the same input. Using PEFT-U,
we explore the challenge of efficiently personalizing LLMs to accommodate
user-specific preferences in the context of diverse user-centered tasks.",http://arxiv.org/pdf/2407.18078v1,2024-07-25,2407.18078v1,PEFT-U: Parameter-Efficient Fine-Tuning for User Personalization,gpt-4,highly irrelevant,"While the paper discusses fine-tuning of language models for user personalization, there are no mentions of prompting or prompt engineering practices."
Difficulty Estimation and Simplification of French Text Using LLMs,"['Henri Jamet', 'Yash Raj Shrestha', 'Michalis Vlachos']","We leverage generative large language models for language learning
applications, focusing on estimating the difficulty of foreign language texts
and simplifying them to lower difficulty levels. We frame both tasks as
prediction problems and develop a difficulty classification model using labeled
examples, transfer learning, and large language models, demonstrating superior
accuracy compared to previous approaches. For simplification, we evaluate the
trade-off between simplification quality and meaning preservation, comparing
zero-shot and fine-tuned performances of large language models. We show that
meaningful text simplifications can be obtained with limited fine-tuning. Our
experiments are conducted on French texts, but our methods are
language-agnostic and directly applicable to other foreign languages.",http://arxiv.org/pdf/2407.18061v1,2024-07-25,2407.18061v1,Difficulty Estimation and Simplification of French Text Using LLMs,gpt-4,highly irrelevant,"The study focuses on language learning applications, estimation of difficulty levels, and simplification of texts using large language models. It doesn't mention hard prefix prompting or prompt engineering."
I can listen but cannot read: An evaluation of two-tower multimodal systems for instrument recognition,"['Yannis Vasilakis', 'Rachel Bittner', 'Johan Pauwels']","Music two-tower multimodal systems integrate audio and text modalities into a
joint audio-text space, enabling direct comparison between songs and their
corresponding labels. These systems enable new approaches for classification
and retrieval, leveraging both modalities. Despite the promising results they
have shown for zero-shot classification and retrieval tasks, closer inspection
of the embeddings is needed. This paper evaluates the inherent zero-shot
properties of joint audio-text spaces for the case-study of instrument
recognition. We present an evaluation and analysis of two-tower systems for
zero-shot instrument recognition and a detailed analysis of the properties of
the pre-joint and joint embeddings spaces. Our findings suggest that audio
encoders alone demonstrate good quality, while challenges remain within the
text encoder or joint space projection. Specifically, two-tower systems exhibit
sensitivity towards specific words, favoring generic prompts over musically
informed ones. Despite the large size of textual encoders, they do not yet
leverage additional textual context or infer instruments accurately from their
descriptions. Lastly, a novel approach for quantifying the semantic
meaningfulness of the textual space leveraging an instrument ontology is
proposed. This method reveals deficiencies in the systems' understanding of
instruments and provides evidence of the need for fine-tuning text encoders on
musical data.",http://arxiv.org/pdf/2407.18058v1,2024-07-25,2407.18058v1,I can listen but cannot read: An evaluation of two-tower multimodal systems for instrument recognition,gpt-4,highly irrelevant,"This paper focuses on two-tower multimodal systems for instrument recognition, primarily dealing with audio and text encoders but does not discuss hard prefix prompting or prompt engineering."
GaussianSR: High Fidelity 2D Gaussian Splatting for Arbitrary-Scale Image Super-Resolution,"['Jintong Hu', 'Bin Xia', 'Bin Chen', 'Wenming Yang', 'Lei Zhang']","Implicit neural representations (INRs) have significantly advanced the field
of arbitrary-scale super-resolution (ASSR) of images. Most existing INR-based
ASSR networks first extract features from the given low-resolution image using
an encoder, and then render the super-resolved result via a multi-layer
perceptron decoder. Although these approaches have shown promising results,
their performance is constrained by the limited representation ability of
discrete latent codes in the encoded features. In this paper, we propose a
novel ASSR method named GaussianSR that overcomes this limitation through 2D
Gaussian Splatting (2DGS). Unlike traditional methods that treat pixels as
discrete points, GaussianSR represents each pixel as a continuous Gaussian
field. The encoded features are simultaneously refined and upsampled by
rendering the mutually stacked Gaussian fields. As a result, long-range
dependencies are established to enhance representation ability. In addition, a
classifier is developed to dynamically assign Gaussian kernels to all pixels to
further improve flexibility. All components of GaussianSR (i.e., encoder,
classifier, Gaussian kernels, and decoder) are jointly learned end-to-end.
Experiments demonstrate that GaussianSR achieves superior ASSR performance with
fewer parameters than existing methods while enjoying interpretable and
content-aware feature aggregations.",http://arxiv.org/pdf/2407.18046v1,2024-07-25,2407.18046v1,GaussianSR: High Fidelity 2D Gaussian Splatting for Arbitrary-Scale Image Super-Resolution,gpt-4,highly irrelevant,"The paper discusses image super-resolution using Gaussian Splatting and doesn't mention anything about prompting, prompt engineering, or transformers."
Peak-Controlled Logits Poisoning Attack in Federated Distillation,"['Yuhan Tang', 'Aoxu Zhang', 'Zhiyuan Wu', 'Bo Gao', 'Tian Wen', 'Yuwei Wang', 'Sheng Sun']","Federated Distillation (FD) offers an innovative approach to distributed
machine learning, leveraging knowledge distillation for efficient and flexible
cross-device knowledge transfer without necessitating the upload of extensive
model parameters to a central server. While FD has gained popularity, its
vulnerability to poisoning attacks remains underexplored. To address this gap,
we previously introduced FDLA (Federated Distillation Logits Attack), a method
that manipulates logits communication to mislead and degrade the performance of
client models. However, the impact of FDLA on participants with different
identities and the effects of malicious modifications at various stages of
knowledge transfer remain unexplored. To this end, we present PCFDLA
(Peak-Controlled Federated Distillation Logits Attack), an advanced and more
stealthy logits poisoning attack method for FD. PCFDLA enhances the
effectiveness of FDLA by carefully controlling the peak values of logits to
create highly misleading yet inconspicuous modifications. Furthermore, we
introduce a novel metric for better evaluating attack efficacy, demonstrating
that PCFDLA maintains stealth while being significantly more disruptive to
victim models compared to its predecessors. Experimental results across various
datasets confirm the superior impact of PCFDLA on model accuracy, solidifying
its potential threat in federated distillation systems.",http://arxiv.org/pdf/2407.18039v1,2024-07-25,2407.18039v1,Peak-Controlled Logits Poisoning Attack in Federated Distillation,gpt-4,highly irrelevant,"The paper primarily focuses on Federated Distillation and poison attacks in this context, without any mention or implication of hard prefix prompts or prompt engineering techniques."
RestoreAgent: Autonomous Image Restoration Agent via Multimodal Large Language Models,"['Haoyu Chen', 'Wenbo Li', 'Jinjin Gu', 'Jingjing Ren', 'Sixiang Chen', 'Tian Ye', 'Renjing Pei', 'Kaiwen Zhou', 'Fenglong Song', 'Lei Zhu']","Natural images captured by mobile devices often suffer from multiple types of
degradation, such as noise, blur, and low light. Traditional image restoration
methods require manual selection of specific tasks, algorithms, and execution
sequences, which is time-consuming and may yield suboptimal results. All-in-one
models, though capable of handling multiple tasks, typically support only a
limited range and often produce overly smooth, low-fidelity outcomes due to
their broad data distribution fitting. To address these challenges, we first
define a new pipeline for restoring images with multiple degradations, and then
introduce RestoreAgent, an intelligent image restoration system leveraging
multimodal large language models. RestoreAgent autonomously assesses the type
and extent of degradation in input images and performs restoration through (1)
determining the appropriate restoration tasks, (2) optimizing the task
sequence, (3) selecting the most suitable models, and (4) executing the
restoration. Experimental results demonstrate the superior performance of
RestoreAgent in handling complex degradation, surpassing human experts.
Furthermore, the system modular design facilitates the fast integration of new
tasks and models, enhancing its flexibility and scalability for various
applications.",http://arxiv.org/pdf/2407.18035v1,2024-07-25,2407.18035v1,RestoreAgent: Autonomous Image Restoration Agent via Multimodal Large Language Models,gpt-4,highly irrelevant,"The paper is about image restoration using multimodal large language models, with no mention of hard prefix prompting or prompt engineering."
Learning mental states estimation through self-observation: a developmental synergy between intentions and beliefs representations in a deep-learning model of Theory of Mind,"['Francesca Bianco', 'Silvia Rigato', 'Maria Laura Filippetti', 'Dimitri Ognibene']","Theory of Mind (ToM), the ability to attribute beliefs, intentions, or mental
states to others, is a crucial feature of human social interaction. In complex
environments, where the human sensory system reaches its limits, behaviour is
strongly driven by our beliefs about the state of the world around us.
Accessing others' mental states, e.g., beliefs and intentions, allows for more
effective social interactions in natural contexts. Yet, these variables are not
directly observable, making understanding ToM a challenging quest of interest
for different fields, including psychology, machine learning and robotics. In
this paper, we contribute to this topic by showing a developmental synergy
between learning to predict low-level mental states (e.g., intentions, goals)
and attributing high-level ones (i.e., beliefs). Specifically, we assume that
learning beliefs attribution can occur by observing one's own decision
processes involving beliefs, e.g., in a partially observable environment. Using
a simple feed-forward deep learning model, we show that, when learning to
predict others' intentions and actions, more accurate predictions can be
acquired earlier if beliefs attribution is learnt simultaneously. Furthermore,
we show that the learning performance improves even when observed actors have a
different embodiment than the observer and the gain is higher when observing
beliefs-driven chunks of behaviour. We propose that our computational approach
can inform the understanding of human social cognitive development and be
relevant for the design of future adaptive social robots able to autonomously
understand, assist, and learn from human interaction partners in novel natural
environments and tasks.",http://arxiv.org/pdf/2407.18022v1,2024-07-25,2407.18022v1,Learning mental states estimation through self-observation: a developmental synergy between intentions and beliefs representations in a deep-learning model of Theory of Mind,gpt-4,highly irrelevant,"The paper focuses on mental state estimation in AI and social cognitive development, and does not discuss hard prefix prompting or any sort of prompt engineering."
Quadratic Advantage with Quantum Randomized Smoothing Applied to Time-Series Analysis,"['Nicola Franco', 'Marie Kempkes', 'Jakob Spiegelberg', 'Jeanette Miriam Lorenz']","As quantum machine learning continues to develop at a rapid pace, the
importance of ensuring the robustness and efficiency of quantum algorithms
cannot be overstated. Our research presents an analysis of quantum randomized
smoothing, how data encoding and perturbation modeling approaches can be
matched to achieve meaningful robustness certificates. By utilizing an
innovative approach integrating Grover's algorithm, a quadratic sampling
advantage over classical randomized smoothing is achieved. This strategy
necessitates a basis state encoding, thus restricting the space of meaningful
perturbations. We show how constrained $k$-distant Hamming weight perturbations
are a suitable noise distribution here, and elucidate how they can be
constructed on a quantum computer. The efficacy of the proposed framework is
demonstrated on a time series classification task employing a Bag-of-Words
pre-processing solution. The advantage of quadratic sample reduction is
recovered especially in the regime with large number of samples. This may allow
quantum computers to efficiently scale randomized smoothing to more complex
tasks beyond the reach of classical methods.",http://arxiv.org/pdf/2407.18021v1,2024-07-25,2407.18021v1,Quadratic Advantage with Quantum Randomized Smoothing Applied to Time-Series Analysis,gpt-4,highly irrelevant,The paper focuses on quantum machine learning and doesn't mention prompt engineering or hard prefix prompts.
A Sensitivity Analysis of Cellular Automata and Heterogeneous Topology Networks: Partially-Local Cellular Automata and Homogeneous Homogeneous Random Boolean Networks,"['Tom Eivind Glover', 'Ruben Jahren', 'Francesco Martinuzzi', 'Pedro Gonçalves Lind', 'Stefano Nichele']","Elementary Cellular Automata (ECA) are a well-studied computational universe
that is, despite its simple configurations, capable of impressive computational
variety. Harvesting this computation in a useful way has historically shown
itself to be difficult, but if combined with reservoir computing (RC), this
becomes much more feasible. Furthermore, RC and ECA enable energy-efficient AI,
making the combination a promising concept for Edge AI. In this work, we
contrast ECA to substrates of Partially-Local CA (PLCA) and Homogeneous
Homogeneous Random Boolean Networks (HHRBN). They are, in comparison, the
topological heterogeneous counterparts of ECA. This represents a step from ECA
towards more biological-plausible substrates. We analyse these substrates by
testing on an RC benchmark (5-bit memory), using Temporal Derrida plots to
estimate the sensitivity and assess the defect collapse rate. We find that,
counterintuitively, disordered topology does not necessarily mean disordered
computation. There are countering computational ""forces"" of topology
imperfections leading to a higher collapse rate (order) and yet, if accounted
for, an increased sensitivity to the initial condition. These observations
together suggest a shrinking critical range.",http://arxiv.org/pdf/2407.18017v1,2024-07-25,2407.18017v1,A Sensitivity Analysis of Cellular Automata and Heterogeneous Topology Networks: Partially-Local Cellular Automata and Homogeneous Homogeneous Random Boolean Networks,gpt-4,highly irrelevant,"The paper focuses on Cellular Automata and Heterogeneous Topology Networks, and does not discuss prompt engineering or use of hard prefix prompts."
Keep the Cost Down: A Review on Methods to Optimize LLM' s KV-Cache Consumption,"['Shi Luohe', 'Zhang Hongyi', 'Yao Yao', 'Li Zuchao', 'Zhao Hai']","Large Language Models (LLMs), epitomized by ChatGPT' s release in late 2022,
have revolutionized various industries with their advanced language
comprehension. However, their efficiency is challenged by the Transformer
architecture' s struggle with handling long texts. KV-Cache has emerged as a
pivotal solution to this issue, converting the time complexity of token
generation from quadratic to linear, albeit with increased GPU memory overhead
proportional to conversation length. With the development of the LLM community
and academia, various KV-Cache compression methods have been proposed. In this
review, we dissect the various properties of KV-Cache and elaborate on various
methods currently used to optimize the KV-Cache space usage of LLMs. These
methods span the pre-training phase, deployment phase, and inference phase, and
we summarize the commonalities and differences among these methods.
Additionally, we list some metrics for evaluating the long-text capabilities of
large language models, from both efficiency and capability perspectives. Our
review thus sheds light on the evolving landscape of LLM optimization, offering
insights into future advancements in this dynamic field.",http://arxiv.org/pdf/2407.18003v1,2024-07-25,2407.18003v1,Keep the Cost Down: A Review on Methods to Optimize LLM' s KV-Cache Consumption,gpt-4,highly irrelevant,"The paper is focused on KV-Cache and optimizing the memory usage of Large Language Models, with no mention or implication of hard prefix prompts or any form of prompt engineering."
On the Effect of Purely Synthetic Training Data for Different Automatic Speech Recognition Architectures,"['Nick Rossenbach', 'Benedikt Hilmes', 'Ralf Schlüter']","In this work we evaluate the utility of synthetic data for training automatic
speech recognition (ASR). We use the ASR training data to train a
text-to-speech (TTS) system similar to FastSpeech-2. With this TTS we reproduce
the original training data, training ASR systems solely on synthetic data. For
ASR, we use three different architectures, attention-based encoder-decoder,
hybrid deep neural network hidden Markov model and a Gaussian mixture hidden
Markov model, showing the different sensitivity of the models to synthetic data
generation. In order to extend previous work, we present a number of ablation
studies on the effectiveness of synthetic vs. real training data for ASR. In
particular we focus on how the gap between training on synthetic and real data
changes by varying the speaker embedding or by scaling the model size. For the
latter we show that the TTS models generalize well, even when training scores
indicate overfitting.",http://arxiv.org/pdf/2407.17997v1,2024-07-25,2407.17997v1,On the Effect of Purely Synthetic Training Data for Different Automatic Speech Recognition Architectures,gpt-4,highly irrelevant,The paper focuses on automatic speech recognition and does not mention or imply the use of hard prefix prompting or prompt engineering techniques.
Personalized and Context-aware Route Planning for Edge-assisted Vehicles,"['Dinesh Cyril Selvaraj', 'Falko Dressler', 'Carla Fabiana Chiasserini']","Conventional route planning services typically offer the same routes to all
drivers, focusing primarily on a few standardized factors such as travel
distance or time, overlooking individual driver preferences. With the inception
of autonomous vehicles expected in the coming years, where vehicles will rely
on routes decided by such planners, there arises a need to incorporate the
specific preferences of each driver, ensuring personalized navigation
experiences. In this work, we propose a novel approach based on graph neural
networks (GNNs) and deep reinforcement learning (DRL), aimed at customizing
routes to suit individual preferences. By analyzing the historical trajectories
of individual drivers, we classify their driving behavior and associate it with
relevant road attributes as indicators of driver preferences. The GNN is
capable of representing the road network as graph-structured data effectively,
while DRL is capable of making decisions utilizing reward mechanisms to
optimize route selection with factors such as travel costs, congestion level,
and driver satisfaction. We evaluate our proposed GNN-based DRL framework using
a real-world road network and demonstrate its ability to accommodate driver
preferences, offering a range of route options tailored to individual drivers.
The results indicate that our framework can select routes that accommodate
driver's preferences with up to a 17% improvement compared to a generic route
planner, and reduce the travel time by 33% (afternoon) and 46% (evening)
relatively to the shortest distance-based approach.",http://arxiv.org/pdf/2407.17980v1,2024-07-25,2407.17980v1,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,gpt-4,highly irrelevant,This paper revolves around route planning services for autonomous vehicles using GNNs and DRL. There is no indication of relevance to the topics of hard prefix prompting or prompt engineering.
What does Kiki look like? Cross-modal associations between speech sounds and visual shapes in vision-and-language models,"['Tessa Verhoef', 'Kiana Shahrasbi', 'Tom Kouwenhoven']","Humans have clear cross-modal preferences when matching certain novel words
to visual shapes. Evidence suggests that these preferences play a prominent
role in our linguistic processing, language learning, and the origins of
signal-meaning mappings. With the rise of multimodal models in AI, such as
vision- and-language (VLM) models, it becomes increasingly important to uncover
the kinds of visio-linguistic associations these models encode and whether they
align with human representations. Informed by experiments with humans, we probe
and compare four VLMs for a well-known human cross-modal preference, the
bouba-kiki effect. We do not find conclusive evidence for this effect but
suggest that results may depend on features of the models, such as architecture
design, model size, and training details. Our findings inform discussions on
the origins of the bouba-kiki effect in human cognition and future developments
of VLMs that align well with human cross-modal associations.",http://arxiv.org/pdf/2407.17974v1,2024-07-25,2407.17974v1,What does Kiki look like? Cross-modal associations between speech sounds and visual shapes in vision-and-language models,gpt-4,highly irrelevant,"The paper is focused on studying the cross-modal associations in multimodal models and their alignment with human cognition, and it's not directly related to any discussion on hard prefix prompting or prompt engineering in AI models."
Relating the Seemingly Unrelated: Principled Understanding of Generalization for Generative Models in Arithmetic Reasoning Tasks,"['Xingcheng Xu', 'Zibo Zhao', 'Haipeng Zhang', 'Yanqing Yang']","Large language models (LLMs) have demonstrated impressive versatility across
numerous tasks, yet their generalization capabilities remain poorly understood.
To investigate these behaviors, arithmetic tasks serve as important venues. In
previous studies, seemingly unrelated mysteries still exist -- (1) models with
appropriate positional embeddings can correctly perform longer unseen
arithmetic operations such as addition, but their effectiveness varies in more
complex tasks like multiplication; (2) models perform well for longer unseen
cases in modular addition under specific moduli (e.g., modulo 100) but struggle
under very close moduli (e.g., modulo 101), regardless of the positional
encoding used. We believe previous studies have been treating the symptoms
rather than addressing the root cause -- they have paid excessive attention to
improving model components, while overlooking the differences in task
properties that may be the real drivers. This is confirmed by our unified
theoretical framework for different arithmetic scenarios. For example, unlike
multiplication, the digital addition task has the property of translation
invariance which naturally aligns with the relative positional encoding, and
this combination leads to successful generalization of addition to unseen
longer domains. The discrepancy in operations modulo 100 and 101 arises from
the base. Modulo 100, unlike 101, is compatible with the decimal system (base
10), such that unseen information in digits beyond the units digit and the tens
digit is actually not needed for the task. Extensive experiments with GPT-like
models validate our theoretical predictions. These findings deepen our
understanding of the generalization mechanisms, and facilitate more
data-efficient model training and objective-oriented AI alignment.",http://arxiv.org/pdf/2407.17963v1,2024-07-25,2407.17963v1,Relating the Seemingly Unrelated: Principled Understanding of Generalization for Generative Models in Arithmetic Reasoning Tasks,gpt-4,highly irrelevant,"The paper focuses on understanding generalization capabilities of large language models in arithmetic tasks and data-efficient model training, not hard prefix prompting or prompt engineering."
The Curious Case of Representational Alignment: Unravelling Visio-Linguistic Tasks in Emergent Communication,"['Tom Kouwenhoven', 'Max Peeperkorn', 'Bram van Dijk', 'Tessa Verhoef']","Natural language has the universal properties of being compositional and
grounded in reality. The emergence of linguistic properties is often
investigated through simulations of emergent communication in referential
games. However, these experiments have yielded mixed results compared to
similar experiments addressing linguistic properties of human language. Here we
address representational alignment as a potential contributing factor to these
results. Specifically, we assess the representational alignment between agent
image representations and between agent representations and input images. Doing
so, we confirm that the emergent language does not appear to encode human-like
conceptual visual features, since agent image representations drift away from
inputs whilst inter-agent alignment increases. We moreover identify a strong
relationship between inter-agent alignment and topographic similarity, a common
metric for compositionality, and address its consequences. To address these
issues, we introduce an alignment penalty that prevents representational drift
but interestingly does not improve performance on a compositional
discrimination task. Together, our findings emphasise the key role
representational alignment plays in simulations of language emergence.",http://arxiv.org/pdf/2407.17960v1,2024-07-25,2407.17960v1,The Curious Case of Representational Alignment: Unravelling Visio-Linguistic Tasks in Emergent Communication,gpt-4,highly irrelevant,The paper focuses on understanding emergent communication in referential games without any references to prompt engineering or hard prefix prompting.
