title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image,image_description
MMM: Multilingual Mutual Reinforcement Effect Mix Datasets & Test with Open-domain Information Extraction Large Language Models,"['Chengguang Gan', 'Qingyu Yin', 'Xinyang He', 'Hanjun Wei', 'Yunhao Liang', 'Younghun Lim', 'Shijian Wang', 'Hexiang Huang', 'Qinghao Zhang', 'Shiwen Ni', 'Tatsunori Mori']","The Mutual Reinforcement Effect (MRE) represents a promising avenue in
information extraction and multitasking research. Nevertheless, its
applicability has been constrained due to the exclusive availability of MRE mix
datasets in Japanese, thereby limiting comprehensive exploration by the global
research community. To address this limitation, we introduce a Multilingual MRE
mix dataset (MMM) that encompasses 21 sub-datasets in English, Japanese, and
Chinese. In this paper, we also propose a method for dataset translation
assisted by Large Language Models (LLMs), which significantly reduces the
manual annotation time required for dataset construction by leveraging LLMs to
translate the original Japanese datasets. Additionally, we have enriched the
dataset by incorporating open-domain Named Entity Recognition (NER) and
sentence classification tasks. Utilizing this expanded dataset, we developed a
unified input-output framework to train an Open-domain Information Extraction
Large Language Model (OIELLM). The OIELLM model demonstrates the capability to
effectively process novel MMM datasets, exhibiting significant improvements in
performance.",http://arxiv.org/pdf/2407.10953v1,2024-07-15,2407.10953v1,MMM: Multilingual Mutual Reinforcement Effect Mix Datasets & Test with Open-domain Information Extraction Large Language Models,gpt-4,highly irrelevant,"While this paper uses Large Language Models (LLMs) and develops an Open-domain Information Extraction Large Language Model (OIELLM), it doesn't specifically address or employ hard prefix prompting or any form of prompt engineering for that matter, but rather focuses on the construction and use of multilingual data sets.",,
Representing Rule-based Chatbots with Transformers,"['Dan Friedman', 'Abhishek Panigrahi', 'Danqi Chen']","Transformer-based chatbots can conduct fluent, natural-sounding
conversations, but we have limited understanding of the mechanisms underlying
their behavior. Prior work has taken a bottom-up approach to understanding
Transformers by constructing Transformers for various synthetic and formal
language tasks, such as regular expressions and Dyck languages. However, it is
not obvious how to extend this approach to understand more naturalistic
conversational agents. In this work, we take a step in this direction by
constructing a Transformer that implements the ELIZA program, a classic,
rule-based chatbot. ELIZA illustrates some of the distinctive challenges of the
conversational setting, including both local pattern matching and long-term
dialog state tracking. We build on constructions from prior work -- in
particular, for simulating finite-state automata -- showing how simpler
constructions can be composed and extended to give rise to more sophisticated
behavior. Next, we train Transformers on a dataset of synthetically generated
ELIZA conversations and investigate the mechanisms the models learn. Our
analysis illustrates the kinds of mechanisms these models tend to prefer -- for
example, models favor an induction head mechanism over a more precise, position
based copying mechanism; and using intermediate generations to simulate
recurrent data structures, like ELIZA's memory mechanisms. Overall, by drawing
an explicit connection between neural chatbots and interpretable, symbolic
mechanisms, our results offer a new setting for mechanistic analysis of
conversational agents.",http://arxiv.org/pdf/2407.10949v1,2024-07-15,2407.10949v1,Representing Rule-based Chatbots with Transformers,gpt-4,highly irrelevant,"While the paper focuses on transformer models in a chatbot setting, it does not discuss or mention the use or analysis of hard prefix prompting or any approach to prompt engineering.",,
Learning from Naturally Occurring Feedback,"['Shachar Don-Yehiya', 'Leshem Choshen', 'Omri Abend']","Human feedback data is a critical component in developing language models.
However, collecting this feedback is costly and ultimately not scalable. We
propose a scalable method for extracting feedback that users naturally include
when interacting with chat models, and leveraging it for model training. We are
further motivated by previous work that showed there are also qualitative
advantages to using naturalistic (rather than auto-generated) feedback, such as
less hallucinations and biases. We manually annotated conversation data to
confirm the presence of naturally occurring feedback in a standard corpus,
finding that as much as 30% of the chats include explicit feedback. We apply
our method to over 1M conversations to obtain hundreds of thousands of feedback
samples. Training with the extracted feedback shows significant performance
improvements over baseline models, demonstrating the efficacy of our approach
in enhancing model alignment to human preferences.",http://arxiv.org/pdf/2407.10944v1,2024-07-15,2407.10944v1,Learning from Naturally Occurring Feedback,gpt-4,highly irrelevant,This paper focuses on a method for extracting feedback from users interacting with chat models for model training. There is no specific mention of prompt engineering or hard prefix prompts.,,
Benchmarking Vision Language Models for Cultural Understanding,"['Shravan Nayak', 'Kanishk Jain', 'Rabiul Awal', 'Siva Reddy', 'Sjoerd van Steenkiste', 'Lisa Anne Hendricks', 'Karolina Stańczak', 'Aishwarya Agrawal']","Foundation models and vision-language pre-training have notably advanced
Vision Language Models (VLMs), enabling multimodal processing of visual and
linguistic data. However, their performance has been typically assessed on
general scene understanding - recognizing objects, attributes, and actions -
rather than cultural comprehension. This study introduces CulturalVQA, a visual
question-answering benchmark aimed at assessing VLM's geo-diverse cultural
understanding. We curate a collection of 2,378 image-question pairs with 1-5
answers per question representing cultures from 11 countries across 5
continents. The questions probe understanding of various facets of culture such
as clothing, food, drinks, rituals, and traditions. Benchmarking VLMs on
CulturalVQA, including GPT-4V and Gemini, reveals disparity in their level of
cultural understanding across regions, with strong cultural understanding
capabilities for North America while significantly lower performance for
Africa. We observe disparity in their performance across cultural facets too,
with clothing, rituals, and traditions seeing higher performances than food and
drink. These disparities help us identify areas where VLMs lack cultural
understanding and demonstrate the potential of CulturalVQA as a comprehensive
evaluation set for gauging VLM progress in understanding diverse cultures.",http://arxiv.org/pdf/2407.10920v1,2024-07-15,2407.10920v1,Benchmarking Vision Language Models for Cultural Understanding,gpt-4,highly irrelevant,The paper focuses on benchmarking Vision Language Models for cultural understanding and does not discuss prefix prompts or prompt engineering techniques.,,
Leveraging LLM-Respondents for Item Evaluation: a Psychometric Analysis,"['Yunting Liu', 'Shreya Bhandari', 'Zachary A. Pardos']","Effective educational measurement relies heavily on the curation of
well-designed item pools (i.e., possessing the right psychometric properties).
However, item calibration is time-consuming and costly, requiring a sufficient
number of respondents for the response process. We explore using six different
LLMs (GPT-3.5, GPT-4, Llama 2, Llama 3, Gemini-Pro, and Cohere Command R Plus)
and various combinations of them using sampling methods to produce responses
with psychometric properties similar to human answers. Results show that some
LLMs have comparable or higher proficiency in College Algebra than college
students. No single LLM mimics human respondents due to narrow proficiency
distributions, but an ensemble of LLMs can better resemble college students'
ability distribution. The item parameters calibrated by LLM-Respondents have
high correlations (e.g. > 0.8 for GPT-3.5) compared to their human calibrated
counterparts, and closely resemble the parameters of the human subset (e.g.
0.02 Spearman correlation difference). Several augmentation strategies are
evaluated for their relative performance, with resampling methods proving most
effective, enhancing the Spearman correlation from 0.89 (human only) to 0.93
(augmented human).",http://arxiv.org/pdf/2407.10899v1,2024-07-15,2407.10899v1,Leveraging LLM-Respondents for Item Evaluation: a Psychometric Analysis,gpt-4,highly irrelevant,The paper focuses on using large language models for educational measurement and does not mention hard prefix prompts or any prompt engineering techniques.,,
Leveraging Multimodal CycleGAN for the Generation of Anatomically Accurate Synthetic CT Scans from MRIs,"['Leonardo Crespi', 'Samuele Camnasio', 'Damiano Dei', 'Nicola Lambri', 'Pietro Mancosu', 'Marta Scorsetti', 'Daniele Loiacono']","In many clinical settings, the use of both Computed Tomography (CT) and
Magnetic Resonance (MRI) is necessary to pursue a thorough understanding of the
patient's anatomy and to plan a suitable therapeutical strategy; this is often
the case in MRI-based radiotherapy, where CT is always necessary to prepare the
dose delivery, as it provides the essential information about the radiation
absorption properties of the tissues. Sometimes, MRI is preferred to contour
the target volumes. However, this approach is often not the most efficient, as
it is more expensive, time-consuming and, most importantly, stressful for the
patients. To overcome this issue, in this work, we analyse the capabilities of
different configurations of Deep Learning models to generate synthetic CT scans
from MRI, leveraging the power of Generative Adversarial Networks (GANs) and,
in particular, the CycleGAN architecture, capable of working in an unsupervised
manner and without paired images, which were not available. Several CycleGAN
models were trained unsupervised to generate CT scans from different MRI
modalities with and without contrast agents. To overcome the problem of not
having a ground truth, distribution-based metrics were used to assess the
model's performance quantitatively, together with a qualitative evaluation
where physicians were asked to differentiate between real and synthetic images
to understand how realistic the generated images were. The results show how,
depending on the input modalities, the models can have very different
performances; however, models with the best quantitative results, according to
the distribution-based metrics used, can generate very difficult images to
distinguish from the real ones, even for physicians, demonstrating the
approach's potential.",http://arxiv.org/pdf/2407.10888v1,2024-07-15,2407.10888v1,Leveraging Multimodal CycleGAN for the Generation of Anatomically Accurate Synthetic CT Scans from MRIs,gpt-4,highly irrelevant,"The paper is focused on the use of Deep Learning and Generative Adversarial Networks specifically for generating synthetic CT scans from MRIs and does not discuss anything related to prompts, hard prefix prompting, or prompt engineering.",,
"Hey, That's My Model! Introducing Chain & Hash, An LLM Fingerprinting Technique","['Mark Russinovich', 'Ahmed Salem']","Amid growing concerns over the ease of theft and misuse of Large Language
Models (LLMs), the need for fingerprinting models has increased.
Fingerprinting, in this context, means that the model owner can link a given
model to their original version, thereby identifying if their model is being
misused or has been completely stolen. In this paper, we first define a set
five properties a successful fingerprint should satisfy; namely, the
fingerprint should be Transparent, Efficient, Persistent, Robust, and
Unforgeable. Next, we propose Chain & Hash, a new, simple fingerprinting
approach that implements a fingerprint with a cryptographic flavor, achieving
all these properties. Chain & Hash involves generating a set of questions (the
fingerprints) along with a set of potential answers. These elements are hashed
together using a secure hashing technique to select the value for each
question, hence providing an unforgeability property-preventing adversaries
from claiming false ownership. We evaluate the Chain & Hash technique on
multiple models and demonstrate its robustness against benign transformations,
such as fine-tuning on different datasets, and adversarial attempts to erase
the fingerprint. Finally, our experiments demonstrate the efficiency of
implementing Chain & Hash and its utility, where fingerprinted models achieve
almost the same performance as non-fingerprinted ones across different
benchmarks.",http://arxiv.org/pdf/2407.10887v1,2024-07-15,2407.10887v1,"Hey, That's My Model! Introducing Chain & Hash, An LLM Fingerprinting Technique",gpt-4,highly irrelevant,"The paper introduces a unique fingerprinting approach for Large Language Models (LLMs), but does not mention or discuss prompt engineering or hard prefix prompting.",,
Deep Causal Learning to Explain and Quantify The Geo-Tension's Impact on Natural Gas Market,"['Philipp Kai Peter', 'Yulin Li', 'Ziyue Li', 'Wolfgang Ketter']","Natural gas demand is a crucial factor for predicting natural gas prices and
thus has a direct influence on the power system. However, existing methods face
challenges in assessing the impact of shocks, such as the outbreak of the
Russian-Ukrainian war. In this context, we apply deep neural network-based
Granger causality to identify important drivers of natural gas demand.
Furthermore, the resulting dependencies are used to construct a counterfactual
case without the outbreak of the war, providing a quantifiable estimate of the
overall effect of the shock on various German energy sectors. The code and
dataset are available at https://github.com/bonaldli/CausalEnergy.",http://arxiv.org/pdf/2407.10878v1,2024-07-15,2407.10878v1,Deep Causal Learning to Explain and Quantify The Geo-Tension's Impact on Natural Gas Market,gpt-4,highly irrelevant,This paper revolves around the application of deep neural network-based Granger causality to analyze natural gas demand and doesn't mention or imply any use of hard prefix prompting or prompt engineering techniques.,,
Understanding the Importance of Evolutionary Search in Automated Heuristic Design with Large Language Models,"['Rui Zhang', 'Fei Liu', 'Xi Lin', 'Zhenkun Wang', 'Zhichao Lu', 'Qingfu Zhang']","Automated heuristic design (AHD) has gained considerable attention for its
potential to automate the development of effective heuristics. The recent
advent of large language models (LLMs) has paved a new avenue for AHD, with
initial efforts focusing on framing AHD as an evolutionary program search (EPS)
problem. However, inconsistent benchmark settings, inadequate baselines, and a
lack of detailed component analysis have left the necessity of integrating LLMs
with search strategies and the true progress achieved by existing LLM-based EPS
methods to be inadequately justified. This work seeks to fulfill these research
queries by conducting a large-scale benchmark comprising four LLM-based EPS
methods and four AHD problems across nine LLMs and five independent runs. Our
extensive experiments yield meaningful insights, providing empirical grounding
for the importance of evolutionary search in LLM-based AHD approaches, while
also contributing to the advancement of future EPS algorithmic development. To
foster accessibility and reproducibility, we have fully open-sourced our
benchmark and corresponding results.",http://arxiv.org/pdf/2407.10873v1,2024-07-15,2407.10873v1,Understanding the Importance of Evolutionary Search in Automated Heuristic Design with Large Language Models,gpt-4,highly irrelevant,"The paper discusses automated heuristic design using large language models, and focuses on the evolutionary program search problem within this domain, not prompt engineering.",,
GPT Sonograpy: Hand Gesture Decoding from Forearm Ultrasound Images via VLM,"['Keshav Bimbraw', 'Ye Wang', 'Jing Liu', 'Toshiaki Koike-Akino']","Large vision-language models (LVLMs), such as the Generative Pre-trained
Transformer 4-omni (GPT-4o), are emerging multi-modal foundation models which
have great potential as powerful artificial-intelligence (AI) assistance tools
for a myriad of applications, including healthcare, industrial, and academic
sectors. Although such foundation models perform well in a wide range of
general tasks, their capability without fine-tuning is often limited in
specialized tasks. However, full fine-tuning of large foundation models is
challenging due to enormous computation/memory/dataset requirements. We show
that GPT-4o can decode hand gestures from forearm ultrasound data even with no
fine-tuning, and improves with few-shot, in-context learning.",http://arxiv.org/pdf/2407.10870v1,2024-07-15,2407.10870v1,GPT Sonograpy: Hand Gesture Decoding from Forearm Ultrasound Images via VLM,gpt-4,highly irrelevant,"The paper focuses on using a large vision-language model for decoding hand gestures from ultrasound data, with no mentions of prompts.",,
