title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image
Tamil Language Computing: the Present and the Future,['Kengatharaiyer Sarveswaran'],"This paper delves into the text processing aspects of Language Computing,
which enables computers to understand, interpret, and generate human language.
Focusing on tasks such as speech recognition, machine translation, sentiment
analysis, text summarization, and language modelling, language computing
integrates disciplines including linguistics, computer science, and cognitive
psychology to create meaningful human-computer interactions. Recent
advancements in deep learning have made computers more accessible and capable
of independent learning and adaptation. In examining the landscape of language
computing, the paper emphasises foundational work like encoding, where Tamil
transitioned from ASCII to Unicode, enhancing digital communication. It
discusses the development of computational resources, including raw data,
dictionaries, glossaries, annotated data, and computational grammars, necessary
for effective language processing. The challenges of linguistic annotation, the
creation of treebanks, and the training of large language models are also
covered, emphasising the need for high-quality, annotated data and advanced
language models. The paper underscores the importance of building practical
applications for languages like Tamil to address everyday communication needs,
highlighting gaps in current technology. It calls for increased research
collaboration, digitization of historical texts, and fostering digital usage to
ensure the comprehensive development of Tamil language processing, ultimately
enhancing global communication and access to digital services.",http://arxiv.org/pdf/2407.08618v1,2024-07-11,2407.08618v1,Tamil Language Computing: the Present and the Future,gpt-3.5-turbo,neutrally relevant,"The paper focuses on the text processing aspects of language computing and deep learning advancements in language modelling, which are related to prompt engineering.",
Is Your Model Really A Good Math Reasoner? Evaluating Mathematical Reasoning with Checklist,"['Zihao Zhou', 'Shudong Liu', 'Maizhen Ning', 'Wei Liu', 'Jindong Wang', 'Derek F. Wong', 'Xiaowei Huang', 'Qiufeng Wang', 'Kaizhu Huang']","Exceptional mathematical reasoning ability is one of the key features that
demonstrate the power of large language models (LLMs). How to comprehensively
define and evaluate the mathematical abilities of LLMs, and even reflect the
user experience in real-world scenarios, has emerged as a critical issue.
Current benchmarks predominantly concentrate on problem-solving capabilities,
which presents a substantial risk of model overfitting and fails to accurately
represent genuine mathematical reasoning abilities. In this paper, we argue
that if a model really understands a problem, it should be robustly and readily
applied across a diverse array of tasks. Motivated by this, we introduce
MATHCHECK, a well-designed checklist for testing task generalization and
reasoning robustness, as well as an automatic tool to generate checklists
efficiently. MATHCHECK includes multiple mathematical reasoning tasks and
robustness test types to facilitate a comprehensive evaluation of both
mathematical reasoning ability and behavior testing. Utilizing MATHCHECK, we
develop MATHCHECK-GSM and MATHCHECK-GEO to assess mathematical textual
reasoning and multi-modal reasoning capabilities, respectively, serving as
upgraded versions of benchmarks including GSM8k, GeoQA, UniGeo, and Geometry3K.
We adopt MATHCHECK-GSM and MATHCHECK-GEO to evaluate over 20 LLMs and 11 MLLMs,
assessing their comprehensive mathematical reasoning abilities. Our results
demonstrate that while frontier LLMs like GPT-4o continue to excel in various
abilities on the checklist, many other model families exhibit a significant
decline. Further experiments indicate that, compared to traditional math
benchmarks, MATHCHECK better reflects true mathematical abilities and
represents mathematical intelligence more linearly, thereby supporting our
design. On our MATHCHECK, we can easily conduct detailed behavior analysis to
deeply investigate models.",http://arxiv.org/pdf/2407.08733v1,2024-07-11,2407.08733v1,Is Your Model Really A Good Math Reasoner? Evaluating Mathematical Reasoning with Checklist,gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on evaluating the mathematical reasoning abilities of large language models using a checklist, which does not directly relate to prompt engineering.",
A Taxonomy for Data Contamination in Large Language Models,"['Medha Palavalli', 'Amanda Bertsch', 'Matthew R. Gormley']","Large language models pretrained on extensive web corpora demonstrate
remarkable performance across a wide range of downstream tasks. However, a
growing concern is data contamination, where evaluation datasets may be
contained in the pretraining corpus, inflating model performance.
Decontamination, the process of detecting and removing such data, is a
potential solution; yet these contaminants may originate from altered versions
of the test set, evading detection during decontamination. How different types
of contamination impact the performance of language models on downstream tasks
is not fully understood. We present a taxonomy that categorizes the various
types of contamination encountered by LLMs during the pretraining phase and
identify which types pose the highest risk. We analyze the impact of
contamination on two key NLP tasks -- summarization and question answering --
revealing how different types of contamination influence task performance
during evaluation.",http://arxiv.org/pdf/2407.08716v1,2024-07-11,2407.08716v1,A Taxonomy for Data Contamination in Large Language Models,gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on analyzing the impact of various types of contamination on language models during pretraining, which is not directly related to prompt engineering.",
"Operationalizing the Blueprint for an AI Bill of Rights: Recommendations for Practitioners, Researchers, and Policy Makers","['Alex Oesterling', 'Usha Bhalla', 'Suresh Venkatasubramanian', 'Himabindu Lakkaraju']","As Artificial Intelligence (AI) tools are increasingly employed in diverse
real-world applications, there has been significant interest in regulating
these tools. To this end, several regulatory frameworks have been introduced by
different countries worldwide. For example, the European Union recently passed
the AI Act, the White House issued an Executive Order on safe, secure, and
trustworthy AI, and the White House Office of Science and Technology Policy
issued the Blueprint for an AI Bill of Rights (AI BoR). Many of these
frameworks emphasize the need for auditing and improving the trustworthiness of
AI tools, underscoring the importance of safety, privacy, explainability,
fairness, and human fallback options. Although these regulatory frameworks
highlight the necessity of enforcement, practitioners often lack detailed
guidance on implementing them. Furthermore, the extensive research on
operationalizing each of these aspects is frequently buried in technical papers
that are difficult for practitioners to parse. In this write-up, we address
this shortcoming by providing an accessible overview of existing literature
related to operationalizing regulatory principles. We provide
easy-to-understand summaries of state-of-the-art literature and highlight
various gaps that exist between regulatory guidelines and existing AI research,
including the trade-offs that emerge during operationalization. We hope that
this work not only serves as a starting point for practitioners interested in
learning more about operationalizing the regulatory guidelines outlined in the
Blueprint for an AI BoR but also provides researchers with a list of critical
open problems and gaps between regulations and state-of-the-art AI research.
Finally, we note that this is a working paper and we invite feedback in line
with the purpose of this document as described in the introduction.",http://arxiv.org/pdf/2407.08689v1,2024-07-11,2407.08689v1,"Operationalizing the Blueprint for an AI Bill of Rights: Recommendations for Practitioners, Researchers, and Policy Makers",gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on the operationalization of regulatory principles in AI, providing guidance on implementing regulatory frameworks, which is not directly related to the use of hard prefix prompts in language models.",
SPOCKMIP: Segmentation of Vessels in MRAs with Enhanced Continuity using Maximum Intensity Projection as Loss,"['Chethan Radhakrishna', 'Karthikesh Varma Chintalapati', 'Sri Chandana Hudukula Ram Kumar', 'Raviteja Sutrave', 'Hendrik Mattern', 'Oliver Speck', 'Andreas Nürnberger', 'Soumick Chatterjee']","Identification of vessel structures of different sizes in biomedical images
is crucial in the diagnosis of many neurodegenerative diseases. However, the
sparsity of good-quality annotations of such images makes the task of vessel
segmentation challenging. Deep learning offers an efficient way to segment
vessels of different sizes by learning their high-level feature representations
and the spatial continuity of such features across dimensions. Semi-supervised
patch-based approaches have been effective in identifying small vessels of one
to two voxels in diameter. This study focuses on improving the segmentation
quality by considering the spatial correlation of the features using the
Maximum Intensity Projection~(MIP) as an additional loss criterion. Two methods
are proposed with the incorporation of MIPs of label segmentation on the
single~(z-axis) and multiple perceivable axes of the 3D volume. The proposed
MIP-based methods produce segmentations with improved vessel continuity, which
is evident in visual examinations of ROIs. Patch-based training is improved by
introducing an additional loss term, MIP loss, to penalise the predicted
discontinuity of vessels. A training set of 14 volumes is selected from the
StudyForrest dataset comprising of 18 7-Tesla 3D Time-of-Flight~(ToF) Magnetic
Resonance Angiography (MRA) images. The generalisation performance of the
method is evaluated using the other unseen volumes in the dataset. It is
observed that the proposed method with multi-axes MIP loss produces better
quality segmentations with a median Dice of $80.245 \pm 0.129$. Also, the
method with single-axis MIP loss produces segmentations with a median Dice of
$79.749 \pm 0.109$. Furthermore, a visual comparison of the ROIs in the
predicted segmentation reveals a significant improvement in the continuity of
the vessels when MIP loss is incorporated into training.",http://arxiv.org/pdf/2407.08655v1,2024-07-11,2407.08655v1,SPOCKMIP: Segmentation of Vessels in MRAs with Enhanced Continuity using Maximum Intensity Projection as Loss,gpt-3.5-turbo,somewhat irrelevant,"This paper focuses on enhancing the segmentation of vessels in biomedical images using deep learning techniques, specifically by incorporating Maximum Intensity Projection as an additional loss criterion. While it does involve deep learning and improving segmentation quality, it does not specifically mention prompt engineering.",
FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"['Jay Shah', 'Ganesh Bikshandi', 'Ying Zhang', 'Vijay Thakkar', 'Pradeep Ramani', 'Tri Dao']","Attention, as a core layer of the ubiquitous Transformer architecture, is the
bottleneck for large language models and long-context applications.
FlashAttention elaborated an approach to speed up attention on GPUs through
minimizing memory reads/writes. However, it has yet to take advantage of new
capabilities present in recent hardware, with FlashAttention-2 achieving only
35% utilization on the H100 GPU. We develop three main techniques to speed up
attention on Hopper GPUs: exploiting asynchrony of the Tensor Cores and TMA to
(1) overlap overall computation and data movement via warp-specialization and
(2) interleave block-wise matmul and softmax operations, and (3) block
quantization and incoherent processing that leverages hardware support for FP8
low-precision. We demonstrate that our method, FlashAttention-3, achieves
speedup on H100 GPUs by 1.5-2.0$\times$ with FP16 reaching up to 740 TFLOPs/s
(75% utilization), and with FP8 reaching close to 1.2 PFLOPs/s. We validate
that FP8 FlashAttention-3 achieves 2.6$\times$ lower numerical error than a
baseline FP8 attention.",http://arxiv.org/pdf/2407.08608v1,2024-07-11,2407.08608v1,FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on optimizing attention mechanisms in Transformer models using new techniques and hardware support, rather than on prompt engineering.",
The Synergy between Data and Multi-Modal Large Language Models: A Survey from Co-Development Perspective,"['Zhen Qin', 'Daoyuan Chen', 'Wenhao Zhang', 'Liuyi Yao', 'Yilun Huang', 'Bolin Ding', 'Yaliang Li', 'Shuiguang Deng']","The rapid development of large language models (LLMs) has been witnessed in
recent years. Based on the powerful LLMs, multi-modal LLMs (MLLMs) extend the
modality from text to a broader spectrum of domains, attracting widespread
attention due to the broader range of application scenarios. As LLMs and MLLMs
rely on vast amounts of model parameters and data to achieve emergent
capabilities, the importance of data is receiving increasingly widespread
attention and recognition. Tracing and analyzing recent data-oriented works for
MLLMs, we find that the development of models and data is not two separate
paths but rather interconnected. On the one hand, vaster and higher-quality
data contribute to better performance of MLLMs, on the other hand, MLLMs can
facilitate the development of data. The co-development of multi-modal data and
MLLMs requires a clear view of 1) at which development stage of MLLMs can
specific data-centric approaches be employed to enhance which capabilities, and
2) by utilizing which capabilities and acting as which roles can models
contribute to multi-modal data. To promote the data-model co-development for
MLLM community, we systematically review existing works related to MLLMs from
the data-model co-development perspective. A regularly maintained project
associated with this survey is accessible at
https://github.com/modelscope/data-juicer/blob/main/docs/awesome_llm_data.md.",http://arxiv.org/pdf/2407.08583v1,2024-07-11,2407.08583v1,The Synergy between Data and Multi-Modal Large Language Models: A Survey from Co-Development Perspective,gpt-3.5-turbo,somewhat irrelevant,"The paper focuses on the development and enhancement of large language models (LLMs) and multi-modal LLMs through the synergy between data and models, without mentioning any specific information related to prompt engineering or hard prefix prompts.",
Video Diffusion Alignment via Reward Gradients,"['Mihir Prabhudesai', 'Russell Mendonca', 'Zheyang Qin', 'Katerina Fragkiadaki', 'Deepak Pathak']","We have made significant progress towards building foundational video
diffusion models. As these models are trained using large-scale unsupervised
data, it has become crucial to adapt these models to specific downstream tasks.
Adapting these models via supervised fine-tuning requires collecting target
datasets of videos, which is challenging and tedious. In this work, we utilize
pre-trained reward models that are learned via preferences on top of powerful
vision discriminative models to adapt video diffusion models. These models
contain dense gradient information with respect to generated RGB pixels, which
is critical to efficient learning in complex search spaces, such as videos. We
show that backpropagating gradients from these reward models to a video
diffusion model can allow for compute and sample efficient alignment of the
video diffusion model. We show results across a variety of reward models and
video diffusion models, demonstrating that our approach can learn much more
efficiently in terms of reward queries and computation than prior gradient-free
approaches. Our code, model weights,and more visualization are available at
https://vader-vid.github.io.",http://arxiv.org/pdf/2407.08737v1,2024-07-11,2407.08737v1,Video Diffusion Alignment via Reward Gradients,gpt-3.5-turbo,highly irrelevant,"The paper focuses on adapting video diffusion models using pre-trained reward models and backpropagating gradients, which is not directly related to prompt engineering.",
Transformer Circuit Faithfulness Metrics are not Robust,"['Joseph Miller', 'Bilal Chughtai', 'William Saunders']","Mechanistic interpretability work attempts to reverse engineer the learned
algorithms present inside neural networks. One focus of this work has been to
discover 'circuits' -- subgraphs of the full model that explain behaviour on
specific tasks. But how do we measure the performance of such circuits? Prior
work has attempted to measure circuit 'faithfulness' -- the degree to which the
circuit replicates the performance of the full model. In this work, we survey
many considerations for designing experiments that measure circuit faithfulness
by ablating portions of the model's computation. Concerningly, we find existing
methods are highly sensitive to seemingly insignificant changes in the ablation
methodology. We conclude that existing circuit faithfulness scores reflect both
the methodological choices of researchers as well as the actual components of
the circuit - the task a circuit is required to perform depends on the ablation
used to test it. The ultimate goal of mechanistic interpretability work is to
understand neural networks, so we emphasize the need for more clarity in the
precise claims being made about circuits. We open source a library at
https://github.com/UFO-101/auto-circuit that includes highly efficient
implementations of a wide range of ablation methodologies and circuit discovery
algorithms.",http://arxiv.org/pdf/2407.08734v1,2024-07-11,2407.08734v1,Transformer Circuit Faithfulness Metrics are not Robust,gpt-3.5-turbo,highly irrelevant,"The paper focuses on circuit faithfulness metrics and interpretability of neural networks, rather than prompt engineering.",
MetaUrban: A Simulation Platform for Embodied AI in Urban Spaces,"['Wayne Wu', 'Honglin He', 'Yiran Wang', 'Chenda Duan', 'Jack He', 'Zhizheng Liu', 'Quanyi Li', 'Bolei Zhou']","Public urban spaces like streetscapes and plazas serve residents and
accommodate social life in all its vibrant variations. Recent advances in
Robotics and Embodied AI make public urban spaces no longer exclusive to
humans. Food delivery bots and electric wheelchairs have started sharing
sidewalks with pedestrians, while diverse robot dogs and humanoids have
recently emerged in the street. Ensuring the generalizability and safety of
these forthcoming mobile machines is crucial when navigating through the
bustling streets in urban spaces. In this work, we present MetaUrban, a
compositional simulation platform for Embodied AI research in urban spaces.
MetaUrban can construct an infinite number of interactive urban scenes from
compositional elements, covering a vast array of ground plans, object
placements, pedestrians, vulnerable road users, and other mobile agents'
appearances and dynamics. We design point navigation and social navigation
tasks as the pilot study using MetaUrban for embodied AI research and establish
various baselines of Reinforcement Learning and Imitation Learning. Experiments
demonstrate that the compositional nature of the simulated environments can
substantially improve the generalizability and safety of the trained mobile
agents. MetaUrban will be made publicly available to provide more research
opportunities and foster safe and trustworthy embodied AI in urban spaces.",http://arxiv.org/pdf/2407.08725v1,2024-07-11,2407.08725v1,MetaUrban: A Simulation Platform for Embodied AI in Urban Spaces,gpt-3.5-turbo,highly irrelevant,"The paper focuses on the development of a simulation platform for Embodied AI research in urban spaces, without mentioning post-training prompting techniques or hard prefix prompting.",
