title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image_url,image_description
LLaVA-OneVision: Easy Visual Task Transfer,"['Bo Li', 'Yuanhan Zhang', 'Dong Guo', 'Renrui Zhang', 'Feng Li', 'Hao Zhang', 'Kaichen Zhang', 'Yanwei Li', 'Ziwei Liu', 'Chunyuan Li']","We present LLaVA-OneVision, a family of open large multimodal models (LMMs)
developed by consolidating our insights into data, models, and visual
representations in the LLaVA-NeXT blog series. Our experimental results
demonstrate that LLaVA-OneVision is the first single model that can
simultaneously push the performance boundaries of open LMMs in three important
computer vision scenarios: single-image, multi-image, and video scenarios.
Importantly, the design of LLaVA-OneVision allows strong transfer learning
across different modalities/scenarios, yielding new emerging capabilities. In
particular, strong video understanding and cross-scenario capabilities are
demonstrated through task transfer from images to videos.",http://arxiv.org/pdf/2408.03326v1,2024-08-06,2408.03326v1,LLaVA-OneVision: Easy Visual Task Transfer,gpt-4,highly irrelevant,"The paper focuses on multimodal models and visual task transfer, with no mention of prompt engineering or hard prefix prompting.",https://ashay-sriv-images.s3.amazonaws.com/LLaVA-OneVision_ Easy Visual Task Transfer.png,"Single-image 
3.2M
Genera
CLEVR (0
Image Text
OKVQA (9
ShareGPT4
Visual7W (
VQAv2 (82
Doc/Chart
Chart2Text
DVQA (20
LRV Chart
Screen2Wo
UReader K
Math/Rea
Geometry3
GeoQA+ (M
MathQA (2
GQA (72.1
General
IAM (5.7 K
SynthDog-
Langua
Figure 4: Single-Image 3.2M. A High-Quality Sin
Each Category. The outer circle shows the distri
distribution of data subsets. Right: The detailed qu
"
CoverBench: A Challenging Benchmark for Complex Claim Verification,"['Alon Jacovi', 'Moran Ambar', 'Eyal Ben-David', 'Uri Shaham', 'Amir Feder', 'Mor Geva', 'Dror Marcus', 'Avi Caciularu']","There is a growing line of research on verifying the correctness of language
models' outputs. At the same time, LMs are being used to tackle complex queries
that require reasoning. We introduce CoverBench, a challenging benchmark
focused on verifying LM outputs in complex reasoning settings. Datasets that
can be used for this purpose are often designed for other complex reasoning
tasks (e.g., QA) targeting specific use-cases (e.g., financial tables),
requiring transformations, negative sampling and selection of hard examples to
collect such a benchmark. CoverBench provides a diversified evaluation for
complex claim verification in a variety of domains, types of reasoning,
relatively long inputs, and a variety of standardizations, such as multiple
representations for tables where available, and a consistent schema. We
manually vet the data for quality to ensure low levels of label noise. Finally,
we report a variety of competitive baseline results to show CoverBench is
challenging and has very significant headroom. The data is available at
https://huggingface.co/datasets/google/coverbench .",http://arxiv.org/pdf/2408.03325v1,2024-08-06,2408.03325v1,CoverBench: A Challenging Benchmark for Complex Claim Verification,gpt-4,highly irrelevant,"The paper is focused on verifying the correctness of language models' outputs and introduces a benchmark for complex claim verification, but it does not mention or imply the use of hard prefix prompting or prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/CoverBench_ A Challenging Benchmark for Complex Claim Verification.png,"Biomedica
Abstracts
Complex Reasoning Claims
Information-Rich Contexts
ki, Finance,
Statistics 
Tables
(et
Legal 
Contracts
"
Fusing Forces: Deep-Human-Guided Refinement of Segmentation Masks,"['Rafael Sterzinger', 'Christian Stippel', 'Robert Sablatnig']","Etruscan mirrors constitute a significant category in Etruscan art,
characterized by elaborate figurative illustrations featured on their backside.
A laborious and costly aspect of their analysis and documentation is the task
of manually tracing these illustrations. In previous work, a methodology has
been proposed to automate this process, involving photometric-stereo scanning
in combination with deep neural networks. While achieving quantitative
performance akin to an expert annotator, some results still lack qualitative
precision and, thus, require annotators for inspection and potential
correction, maintaining resource intensity. In response, we propose a deep
neural network trained to interactively refine existing annotations based on
human guidance. Our human-in-the-loop approach streamlines annotation,
achieving equal quality with up to 75% less manual input required. Moreover,
during the refinement process, the relative improvement of our methodology over
pure manual labeling reaches peak values of up to 26%, attaining drastically
better quality quicker. By being tailored to the complex task of segmenting
intricate lines, specifically distinguishing it from previous methods, our
approach offers drastic improvements in efficacy, transferable to a broad
spectrum of applications beyond Etruscan mirrors.",http://arxiv.org/pdf/2408.03304v1,2024-08-06,2408.03304v1,Fusing Forces: Deep-Human-Guided Refinement of Segmentation Masks,gpt-4,highly irrelevant,The paper is about refinement of segmentation masks in Etruscan mirrors' analysis and documentation. It does not discuss hard prefix prompting or prompt engineering.,https://ashay-sriv-images.s3.amazonaws.com/Fusing Forces_ Deep-Human-Guided Refinement of Segmentation Masks.png,"Finally, we provide public access to both the
work (see github.com/RafaelSterzinger/etmira-in
parency and reproducibility.
(a) High-Pass Filtered Depth Map
(b) Gro
Fig. 2: Etruscan mirrors typically feature scenes fr
their examination, archaeologists seek to extract t
"
Understanding How Blind Users Handle Object Recognition Errors: Strategies and Challenges,"['Jonggi Hong', 'Hernisa Kacorri']","Object recognition technologies hold the potential to support blind and
low-vision people in navigating the world around them. However, the gap between
benchmark performances and practical usability remains a significant challenge.
This paper presents a study aimed at understanding blind users' interaction
with object recognition systems for identifying and avoiding errors. Leveraging
a pre-existing object recognition system, URCam, fine-tuned for our experiment,
we conducted a user study involving 12 blind and low-vision participants.
Through in-depth interviews and hands-on error identification tasks, we gained
insights into users' experiences, challenges, and strategies for identifying
errors in camera-based assistive technologies and object recognition systems.
During interviews, many participants preferred independent error review, while
expressing apprehension toward misrecognitions. In the error identification
task, participants varied viewpoints, backgrounds, and object sizes in their
images to avoid and overcome errors. Even after repeating the task,
participants identified only half of the errors, and the proportion of errors
identified did not significantly differ from their first attempts. Based on
these insights, we offer implications for designing accessible interfaces
tailored to the needs of blind and low-vision users in identifying object
recognition errors.",http://arxiv.org/pdf/2408.03303v1,2024-08-06,2408.03303v1,Understanding How Blind Users Handle Object Recognition Errors: Strategies and Challenges,gpt-4,highly irrelevant,"The paper focuses on object recognition and usability for blind and low-vision individuals, not on hard prefix prompting or prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/Understanding How Blind Users Handle Object Recognition Errors_ Strategies and Challenges.png,"gies and Challenges
ASSETS ’24, October 27–30, 2024, St. John’s, NL, Canada
Figure 5: Participants’ responses about frequency of encoun-
tered errors and verification of the output from the apps.
"
KaPO: Knowledge-aware Preference Optimization for Controllable Knowledge Selection in Retrieval-Augmented Language Models,"['Ruizhe Zhang', 'Yongxin Xu', 'Yuzhen Xiao', 'Runchuan Zhu', 'Xinke Jiang', 'Xu Chu', 'Junfeng Zhao', 'Yasha Wang']","By integrating external knowledge, Retrieval-Augmented Generation (RAG) has
become an effective strategy for mitigating the hallucination problems that
large language models (LLMs) encounter when dealing with knowledge-intensive
tasks. However, in the process of integrating external non-parametric
supporting evidence with internal parametric knowledge, inevitable knowledge
conflicts may arise, leading to confusion in the model's responses. To enhance
the knowledge selection of LLMs in various contexts, some research has focused
on refining their behavior patterns through instruction-tuning. Nonetheless,
due to the absence of explicit negative signals and comparative objectives,
models fine-tuned in this manner may still exhibit undesirable behaviors in the
intricate and realistic retrieval scenarios. To this end, we propose a
Knowledge-aware Preference Optimization, dubbed KaPO, aimed at achieving
controllable knowledge selection in real retrieval scenarios. Concretely, we
explore and simulate error types across diverse context combinations and learn
how to avoid these negative signals through preference optimization methods.
Simultaneously, by adjusting the balance between response length and the
proportion of preference data representing different behavior patterns, we
enhance the adherence capabilities and noise robustness of LLMs in a balanced
manner. Experimental results show that KaPO outperforms previous methods for
handling knowledge conflicts by over 37%, while also exhibiting robust
generalization across various out-of-distribution datasets.",http://arxiv.org/pdf/2408.03297v1,2024-08-06,2408.03297v1,KaPO: Knowledge-aware Preference Optimization for Controllable Knowledge Selection in Retrieval-Augmented Language Models,gpt-4,highly irrelevant,"This paper does not discuss hard prefix prompting or prompt engineering, but discusses about knowledge integration and preference optimization for retrieval-augmented language models.",,
Static IR Drop Prediction with Attention U-Net and Saliency-Based Explainability,"['Lizi Zhang', 'Azadeh Davoodi']","There has been significant recent progress to reduce the computational effort
of static IR drop analysis using neural networks, and modeling as an
image-to-image translation task. A crucial issue is the lack of sufficient data
from real industry designs to train these networks. Additionally, there is no
methodology to explain a high-drop pixel in a predicted IR drop image to its
specific root-causes. In this work, we first propose a U-Net neural network
model with attention gates which is specifically tailored to achieve fast and
accurate image-based static IR drop prediction. Attention gates allow selective
emphasis on relevant parts of the input data without supervision which is
desired because of the often sparse nature of the IR drop map. We propose a
two-phase training process which utilizes a mix of artificially-generated data
and a limited number of points from real designs. The results are, on-average,
18% (53%) better in MAE and 14% (113%) in F1 score compared to the winner of
the ICCAD 2023 contest (and U-Net only) when tested on real designs. Second, we
propose a fast method using saliency maps which can explain a predicted IR drop
in terms of specific input pixels contributing the most to a drop. In our
experiments, we show the number of high IR drop pixels can be reduced
on-average by 18% by mimicking upsize of a tiny portion of PDN's resistive
edges.",http://arxiv.org/pdf/2408.03292v1,2024-08-06,2408.03292v1,Static IR Drop Prediction with Attention U-Net and Saliency-Based Explainability,gpt-4,highly irrelevant,The paper is focused on static IR drop prediction using neural networks and does not mention or imply the use of hard prefix prompting or prompt engineering in any capacity.,https://ashay-sriv-images.s3.amazonaws.com/Static IR Drop Prediction with Attention U-Net and Saliency-Based Explainability.png,"A PREPRINT - AUGUST 7, 202
gure 2: Block diagram of AttUNet. Additional embedded components compared to a U-Net structure are highlighte
esizing and Normalization: Since the chip dimensions may be different next we apply resizing to adjust all imag
"
SARA: Singular-Value Based Adaptive Low-Rank Adaption,"['Jihao Gu', 'Shuai Chen', 'Zelin Wang', 'Yibo Zhang', 'Ping Gong']","With the increasing number of parameters in large pre-trained models, LoRA as
a parameter-efficient fine-tuning(PEFT) method is widely used for not adding
inference overhead. The LoRA method assumes that weight changes during
fine-tuning can be approximated by low-rank matrices. However, the rank values
need to be manually verified to match different downstream tasks, and they
cannot accommodate the varying importance of different layers in the model. In
this work, we first analyze the relationship between the performance of
different layers and their ranks using SVD. Based on this, we design the
Singular-Value Based Adaptive Low-Rank Adaption(SARA), which adaptively finds
the rank during initialization by performing SVD on the pre-trained weights.
Additionally, we explore the Mixture-of-SARA(Mo-SARA), which significantly
reduces the number of parameters by fine-tuning only multiple parallel sets of
singular values controlled by a router. Extensive experiments on various
complex tasks demonstrate the simplicity and parameter efficiency of our
methods. They can effectively and adaptively find the most suitable rank for
each layer of each model.",http://arxiv.org/pdf/2408.03290v1,2024-08-06,2408.03290v1,SARA: Singular-Value Based Adaptive Low-Rank Adaption,gpt-4,highly irrelevant,"The paper focuses on fine-tuning pre-trained models through a new method named 'Singular-Value Based Adaptive Low-Rank Adaption (SARA)', and though it mentions model adaptation in downstream tasks, it does not discuss prompting techniques in transformers or any aspect of prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/SARA_ Singular-Value Based Adaptive Low-Rank Adaption.png,"raining
u et al.,
to the
iments,
consis-
experi-
iments
e infer-
6and 7,
st base-
om (Hu
th their
e origi-
e added
atrices.
method
ze four
2023),
)
d
Figure 8: Average accuracy of the LoRA method on
mathematical reasoning tasks at different λ scaling ra-
tios compared to the SARA method.
"
StructEval: Deepen and Broaden Large Language Model Assessment via Structured Evaluation,"['Boxi Cao', 'Mengjie Ren', 'Hongyu Lin', 'Xianpei Han', 'Feng Zhang', 'Junfeng Zhan', 'Le Sun']","Evaluation is the baton for the development of large language models. Current
evaluations typically employ a single-item assessment paradigm for each atomic
test objective, which struggles to discern whether a model genuinely possesses
the required capabilities or merely memorizes/guesses the answers to specific
questions. To this end, we propose a novel evaluation framework referred to as
StructEval. Starting from an atomic test objective, StructEval deepens and
broadens the evaluation by conducting a structured assessment across multiple
cognitive levels and critical concepts, and therefore offers a comprehensive,
robust and consistent evaluation for LLMs. Experiments on three widely-used
benchmarks demonstrate that StructEval serves as a reliable tool for resisting
the risk of data contamination and reducing the interference of potential
biases, thereby providing more reliable and consistent conclusions regarding
model capabilities. Our framework also sheds light on the design of future
principled and trustworthy LLM evaluation protocols.",http://arxiv.org/pdf/2408.03281v1,2024-08-06,2408.03281v1,StructEval: Deepen and Broaden Large Language Model Assessment via Structured Evaluation,gpt-4,highly irrelevant,"The paper is focused on evaluating model capabilities and bias, with no mention of prefix prompting or prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/StructEval_ Deepen and Broaden Large Language Model Assessment via Structured Evaluation.png,"Figure 5: The annotation guidelines for our human evaluation.
"
Compress and Compare: Interactively Evaluating Efficiency and Behavior Across ML Model Compression Experiments,"['Angie Boggust', 'Venkatesh Sivaraman', 'Yannick Assogba', 'Donghao Ren', 'Dominik Moritz', 'Fred Hohman']","To deploy machine learning models on-device, practitioners use compression
algorithms to shrink and speed up models while maintaining their high-quality
output. A critical aspect of compression in practice is model comparison,
including tracking many compression experiments, identifying subtle changes in
model behavior, and negotiating complex accuracy-efficiency trade-offs.
However, existing compression tools poorly support comparison, leading to
tedious and, sometimes, incomplete analyses spread across disjoint tools. To
support real-world comparative workflows, we develop an interactive visual
system called Compress and Compare. Within a single interface, Compress and
Compare surfaces promising compression strategies by visualizing provenance
relationships between compressed models and reveals compression-induced
behavior changes by comparing models' predictions, weights, and activations. We
demonstrate how Compress and Compare supports common compression analysis tasks
through two case studies, debugging failed compression on generative language
models and identifying compression artifacts in image classification models. We
further evaluate Compress and Compare in a user study with eight compression
experts, illustrating its potential to provide structure to compression
workflows, help practitioners build intuition about compression, and encourage
thorough analysis of compression's effect on model behavior. Through these
evaluations, we identify compression-specific challenges that future visual
analytics tools should consider and Compress and Compare visualizations that
may generalize to broader model comparison tasks.",http://arxiv.org/pdf/2408.03274v1,2024-08-06,2408.03274v1,Compress and Compare: Interactively Evaluating Efficiency and Behavior Across ML Model Compression Experiments,gpt-4,highly irrelevant,The paper primarily discusses compression of machine learning models and does not mention anything about prompt engineering or hard prefix prompts.,https://ashay-sriv-images.s3.amazonaws.com/Compress and Compare_ Interactively Evaluating Efficiency and Behavior Across ML Model Compression E.png,"e pruning 
abilities.
Layer-specific pruning excluding normalization 
layers better preserves model behavior.
Repaired Sparse Models
D
"
Synthesizing Text-to-SQL Data from Weak and Strong LLMs,"['Jiaxi Yang', 'Binyuan Hui', 'Min Yang', 'Jian Yang', 'Junyang Lin', 'Chang Zhou']","The capability gap between open-source and closed-source large language
models (LLMs) remains a challenge in text-to-SQL tasks. In this paper, we
introduce a synthetic data approach that combines data produced by larger, more
powerful models (strong models) with error information data generated by
smaller, not well-aligned models (weak models). The method not only enhances
the domain generalization of text-to-SQL models but also explores the potential
of error data supervision through preference learning. Furthermore, we employ
the synthetic data approach for instruction tuning on open-source LLMs,
resulting SENSE, a specialized text-to-SQL model. The effectiveness of SENSE is
demonstrated through state-of-the-art results on the SPIDER and BIRD
benchmarks, bridging the performance gap between open-source models and methods
prompted by closed-source models.",http://arxiv.org/pdf/2408.03256v1,2024-08-06,2408.03256v1,Synthesizing Text-to-SQL Data from Weak and Strong LLMs,gpt-4,highly irrelevant,"The paper talks about synthetic data and models, but doesn't mention hard prefix prompting or prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/Synthesizing Text-to-SQL Data from Weak and Strong LLMs.png,"y
thub.com/Yangjiaxi/Sense
and
Ms)
In
ap-
ated
els)
well-
ach
Strong Models
Claude2
GPT-4
Gemini
"
Personalizing Federated Instrument Segmentation with Visual Trait Priors in Robotic Surgery,"['Jialang Xu', 'Jiacheng Wang', 'Lequan Yu', 'Danail Stoyanov', 'Yueming Jin', 'Evangelos B. Mazomenos']","Personalized federated learning (PFL) for surgical instrument segmentation
(SIS) is a promising approach. It enables multiple clinical sites to
collaboratively train a series of models in privacy, with each model tailored
to the individual distribution of each site. Existing PFL methods rarely
consider the personalization of multi-headed self-attention, and do not account
for appearance diversity and instrument shape similarity, both inherent in
surgical scenes. We thus propose PFedSIS, a novel PFL method with visual trait
priors for SIS, incorporating global-personalized disentanglement (GPD),
appearance-regulation personalized enhancement (APE), and shape-similarity
global enhancement (SGE), to boost SIS performance in each site. GPD represents
the first attempt at head-wise assignment for multi-headed self-attention
personalization. To preserve the unique appearance representation of each site
and gradually leverage the inter-site difference, APE introduces appearance
regulation and provides customized layer-wise aggregation solutions via
hypernetworks for each site's personalized parameters. The mutual shape
information of instruments is maintained and shared via SGE, which enhances the
cross-style shape consistency on the image level and computes the
shape-similarity contribution of each site on the prediction level for updating
the global parameters. PFedSIS outperforms state-of-the-art methods with +1.51%
Dice, +2.11% IoU, -2.79 ASSD, -15.55 HD95 performance gains. The corresponding
code and models will be released at https://github.com/wzjialang/PFedSIS.",http://arxiv.org/pdf/2408.03208v1,2024-08-06,2408.03208v1,Personalizing Federated Instrument Segmentation with Visual Trait Priors in Robotic Surgery,gpt-4,highly irrelevant,This paper focuses on personalized federated learning for instrument segmentation in robotic surgery and does not discuss hard prefix or any type of prompt engineering.,https://ashay-sriv-images.s3.amazonaws.com/Personalizing Federated Instrument Segmentation with Visual Trait Priors in Robotic Surgery.png,"(a) Site-1: EndoVis 2017
(b) Site-2: EndoVis 2018
"
A Debiased Nearest Neighbors Framework for Multi-Label Text Classification,"['Zifeng Cheng', 'Zhiwei Jiang', 'Yafeng Yin', 'Zhaoling Chen', 'Cong Wang', 'Shiping Ge', 'Qiguo Huang', 'Qing Gu']","Multi-Label Text Classification (MLTC) is a practical yet challenging task
that involves assigning multiple non-exclusive labels to each document.
Previous studies primarily focus on capturing label correlations to assist
label prediction by introducing special labeling schemes, designing specific
model structures, or adding auxiliary tasks. Recently, the $k$ Nearest Neighbor
($k$NN) framework has shown promise by retrieving labeled samples as references
to mine label co-occurrence information in the embedding space. However, two
critical biases, namely embedding alignment bias and confidence estimation
bias, are often overlooked, adversely affecting prediction performance. In this
paper, we introduce a DEbiased Nearest Neighbors (DENN) framework for MLTC,
specifically designed to mitigate these biases. To address embedding alignment
bias, we propose a debiased contrastive learning strategy, enhancing neighbor
consistency on label co-occurrence. For confidence estimation bias, we present
a debiased confidence estimation strategy, improving the adaptive combination
of predictions from $k$NN and inductive binary classifications. Extensive
experiments conducted on four public benchmark datasets (i.e., AAPD, RCV1-V2,
Amazon-531, and EUR-LEX57K) showcase the effectiveness of our proposed method.
Besides, our method does not introduce any extra parameters.",http://arxiv.org/pdf/2408.03202v1,2024-08-06,2408.03202v1,A Debiased Nearest Neighbors Framework for Multi-Label Text Classification,gpt-4,highly irrelevant,"This paper focuses on Multi-Label Text Classification (MLTC) methodology and a debiased nearest neighbors (DENN) approach, without any mention or implication of hard prefix prompting or prompt engineering techniques.",https://ashay-sriv-images.s3.amazonaws.com/A Debiased Nearest Neighbors Framework for Multi-Label Text Classification.png,"Text Embedding
𝒉𝒕
Linear Layers
& Sigmoid
Query
Retrieve kNN
(e.g., 𝒌= 𝟑)
Label
Similarity
[0,1,1,0,0]
0.94
[0,1,1,1,0]
0.88
[1,1,0,1,0]
0.78
𝒙𝒕
ng 
Prediction
Aggregation
"
Adversarial Safety-Critical Scenario Generation using Naturalistic Human Driving Priors,"['Kunkun Hao', 'Yonggang Luo', 'Wen Cui', 'Yuqiao Bai', 'Jucheng Yang', 'Songyang Yan', 'Yuxi Pan', 'Zijiang Yang']","Evaluating the decision-making system is indispensable in developing
autonomous vehicles, while realistic and challenging safety-critical test
scenarios play a crucial role. Obtaining these scenarios is non-trivial, thanks
to the long-tailed distribution, sparsity, and rarity in real-world data sets.
To tackle this problem, in this paper, we introduce a natural adversarial
scenario generation solution using naturalistic human driving priors and
reinforcement learning techniques. By doing this, we can obtain large-scale
test scenarios that are both diverse and realistic. Specifically, we build a
simulation environment that mimics natural traffic interaction scenarios.
Informed by this environment, we implement a two-stage procedure. The first
stage incorporates conventional rule-based models, e.g., IDM~(Intelligent
Driver Model) and MOBIL~(Minimizing Overall Braking Induced by Lane changes)
model, to coarsely and discretely capture and calibrate key control parameters
from the real-world dataset. Next, we leverage GAIL~(Generative Adversarial
Imitation Learning) to represent driver behaviors continuously. The derived
GAIL can be further used to design a PPO~(Proximal Policy Optimization)-based
actor-critic network framework to fine-tune the reward function, and then
optimizes our natural adversarial scenario generation solution. Extensive
experiments have been conducted in the NGSIM dataset including the trajectory
of 3,000 vehicles. Essential traffic parameters were measured in comparison
with the baseline model, e.g., the collision rate, accelerations, steering, and
the number of lane changes. Our findings demonstrate that the proposed model
can generate realistic safety-critical test scenarios covering both naturalness
and adversariality, which can be a cornerstone for the development of
autonomous vehicles.",http://arxiv.org/pdf/2408.03200v1,2024-08-06,2408.03200v1,Adversarial Safety-Critical Scenario Generation using Naturalistic Human Driving Priors,gpt-4,highly irrelevant,This paper focuses on safety-critical scenario generation for autonomous vehicles using naturalistic human driving priors and reinforcement learning techniques. It does not seem to discuss hard prefix prompting or prompt engineering at all.,https://ashay-sriv-images.s3.amazonaws.com/Adversarial Safety-Critical Scenario Generation using Naturalistic Human Driving Priors.png,"–211.
G. Chanan,
ytorch: An
Advances in
timization,”
T. Harley,
r deep rein-
e learning.
, Y. Tassa,
nforcement
ysis,” Wiley
no. 4, pp.
tern Recog-
g
especially in
Jucheng Y
sion cogniti
Automobile
in 2015. Hi
edge algorit
making, and
simulation a
Songyang
from the S
Jiaotong Un
a Ph.D. in
"
Leveraging Parameter Efficient Training Methods for Low Resource Text Classification: A Case Study in Marathi,"['Pranita Deshmukh', 'Nikita Kulkarni', 'Sanhita Kulkarni', 'Kareena Manghani', 'Raviraj Joshi']","With the surge in digital content in low-resource languages, there is an
escalating demand for advanced Natural Language Processing (NLP) techniques
tailored to these languages. BERT (Bidirectional Encoder Representations from
Transformers), serving as the foundational framework for numerous NLP
architectures and language models, is increasingly employed for the development
of low-resource NLP models. Parameter Efficient Fine-Tuning (PEFT) is a method
for fine-tuning Large Language Models (LLMs) and reducing the training
parameters to some extent to decrease the computational costs needed for
training the model and achieve results comparable to a fully fine-tuned model.
In this work, we present a study of PEFT methods for the Indic low-resource
language Marathi. We conduct a comprehensive analysis of PEFT methods applied
to various monolingual and multilingual Marathi BERT models. These approaches
are evaluated on prominent text classification datasets like MahaSent,
MahaHate, and MahaNews. The incorporation of PEFT techniques is demonstrated to
significantly expedite the training speed of the models, addressing a critical
aspect of model development and deployment. In this study, we explore Low-Rank
Adaptation of Large Language Models (LoRA) and adapter methods for low-resource
text classification. We show that these methods are competitive with full
fine-tuning and can be used without loss in accuracy. This study contributes
valuable insights into the effectiveness of Marathi BERT models, offering a
foundation for the continued advancement of NLP capabilities in Marathi and
similar Indic languages.",http://arxiv.org/pdf/2408.03172v1,2024-08-06,2408.03172v1,Leveraging Parameter Efficient Training Methods for Low Resource Text Classification: A Case Study in Marathi,gpt-4,highly irrelevant,"The paper focuses on Parameter Efficient Fine-Tuning (PEFT) methods for large language models (LLMs) with a specific application in low-resource languages, using BERT models. There is no mention of prompt engineering or hard prefix prompting techniques.",https://ashay-sriv-images.s3.amazonaws.com/Leveraging Parameter Efficient Training Methods for Low Resource Text Classification_ A Case Study i.png,"ubset
and
basis
into
DC),
more
gory
the
words
There
ge of
ealth,
and
this
news
Fig. 3: L3Cube MahaNews Dataset
IV. METHODOLOGY
"
Training on the Fly: On-device Self-supervised Learning aboard Nano-drones within 20 mW,"['Elia Cereda', 'Alessandro Giusti', 'Daniele Palossi']","Miniaturized cyber-physical systems (CPSes) powered by tiny machine learning
(TinyML), such as nano-drones, are becoming an increasingly attractive
technology. Their small form factor (i.e., ~10cm diameter) ensures vast
applicability, ranging from the exploration of narrow disaster scenarios to
safe human-robot interaction. Simple electronics make these CPSes inexpensive,
but strongly limit the computational, memory, and sensing resources available
on board. In real-world applications, these limitations are further exacerbated
by domain shift. This fundamental machine learning problem implies that model
perception performance drops when moving from the training domain to a
different deployment one. To cope with and mitigate this general problem, we
present a novel on-device fine-tuning approach that relies only on the limited
ultra-low power resources available aboard nano-drones. Then, to overcome the
lack of ground-truth training labels aboard our CPS, we also employ a
self-supervised method based on ego-motion consistency. Albeit our work builds
on top of a specific real-world vision-based human pose estimation task, it is
widely applicable for many embedded TinyML use cases. Our 512-image on-device
training procedure is fully deployed aboard an ultra-low power GWT GAP9
System-on-Chip and requires only 1MB of memory while consuming as low as 19mW
or running in just 510ms (at 38mW). Finally, we demonstrate the benefits of our
on-device learning approach by field-testing our closed-loop CPS, showing a
reduction in horizontal position error of up to 26% vs. a non-fine-tuned
state-of-the-art baseline. In the most challenging never-seen-before
environment, our on-device learning procedure makes the difference between
succeeding or failing the mission.",http://arxiv.org/pdf/2408.03168v1,2024-08-06,2408.03168v1,Training on the Fly: On-device Self-supervised Learning aboard Nano-drones within 20 mW,gpt-4,highly irrelevant,"The paper deals with on-device machine learning via self-supervised methods for small devices like nano-drones, rather than prompt engineering or hard prefix prompting.",https://ashay-sriv-images.s3.amazonaws.com/Training on the Fly_ On-device Self-supervised Learning aboard Nano-drones within 20 mW.png,"5
Fig. 4. PULP-Frontnet [2], our target CNN architecture with 9 layers and 304 k parameters. Inference requires 14.3 MMAC operations per frame.
TABLE III
MEMORY AND COMPUTATIONAL REQUIREMENTS OF FINE-TUNING METHODS
"
Dilated Convolution with Learnable Spacings makes visual models more aligned with humans: a Grad-CAM study,"['Rabih Chamas', 'Ismail Khalfaoui-Hassani', 'Timothee Masquelier']","Dilated Convolution with Learnable Spacing (DCLS) is a recent advanced
convolution method that allows enlarging the receptive fields (RF) without
increasing the number of parameters, like the dilated convolution, yet without
imposing a regular grid. DCLS has been shown to outperform the standard and
dilated convolutions on several computer vision benchmarks. Here, we show that,
in addition, DCLS increases the models' interpretability, defined as the
alignment with human visual strategies. To quantify it, we use the Spearman
correlation between the models' GradCAM heatmaps and the ClickMe dataset
heatmaps, which reflect human visual attention. We took eight reference models
- ResNet50, ConvNeXt (T, S and B), CAFormer, ConvFormer, and FastViT (sa 24 and
36) - and drop-in replaced the standard convolution layers with DCLS ones. This
improved the interpretability score in seven of them. Moreover, we observed
that Grad-CAM generated random heatmaps for two models in our study: CAFormer
and ConvFormer models, leading to low interpretability scores. We addressed
this issue by introducing Threshold-Grad-CAM, a modification built on top of
Grad-CAM that enhanced interpretability across nearly all models. The code and
checkpoints to reproduce this study are available at:
https://github.com/rabihchamas/DCLS-GradCAM-Eval.",http://arxiv.org/pdf/2408.03164v1,2024-08-06,2408.03164v1,Dilated Convolution with Learnable Spacings makes visual models more aligned with humans: a Grad-CAM study,gpt-4,highly irrelevant,"The paper is about convolution methods in computer vision models, not prompt engineering or hard prefix prompting.",https://ashay-sriv-images.s3.amazonaws.com/Dilated Convolution with Learnable Spacings makes visual models more aligned with humans_ a Grad-CAM.png,"Accepted at The Trustworthy AI Workshop, IJCAI 2024
Figure 1: Visualization of Heatmaps on ClickMe dataset Images. First row: original images from the ClickMe dataset. Second row: the
same images superimposed with heatmaps created by humans from the ClickMe project. Third row: Threshold-GradCAM heatmaps of the
ConvNeXt base model enhanced with DCLS. Fourth row: Threshold-GradCAM heatmaps of the baseline ConvNeXt base model without
DCLS.
"
